store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Volkswagen of Naples,405024,601 Airport Rd S,,Naples,FL,34104,USA,8449210822,26.1481,-81.7665,Fri:08:30-19:30; Mon:08:30-19:30; Sat:08:30-18:00; Thu:08:30-19:30; Tue:08:30-19:30; Wed:08:30-19:30; Sun:closed; ,,0
Volkswagen of Fort Myers,405089,14060 S Tamiami Trl,,Fort Myers,FL,33912,USA,8007893570,26.5381,-81.8724,Fri:08:00-20:00; Mon:08:00-20:00; Sat:09:00-19:00; Sun:12:00-16:00; Thu:08:00-20:00; Tue:08:00-20:00; Wed:08:00-20:00; ,,0
Port Charlotte Volkswagen,405069,1252 Tamiami Trl,,Port Charlotte,FL,33953,USA,8444301473,27.0151,-82.1474,Fri:09:00-20:00; Mon:09:00-20:00; Sat:09:00-20:00; Sun:11:00-17:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; ,,0
Sunset Volkswagen of Sarasota,405244,5005 S Tamiami Trl,,Sarasota,FL,34231,USA,9419231700,27.2798,-82.5299,Fri:09:00-18:00; Mon:09:00-19:00; Sat:09:00-17:00; Thu:09:00-19:00; Tue:09:00-19:00; Wed:09:00-19:00; Sun:closed; ,,0
South Motors Volkswagen,405041,17930 S Dixie Hwy,,Miami,FL,33157,USA,8444189390,25.6031,-80.3517,Fri:09:00-21:00; Mon:09:00-21:00; Sat:09:00-20:00; Sun:11:00-19:00; Thu:09:00-21:00; Tue:09:00-21:00; Wed:09:00-21:00; ,,0
Esserman International Volkswagen,405029,10455 Nw 12th St,,Doral,FL,33172,USA,3053306014,25.7832,-80.3649,Fri:09:00-17:00; Mon:09:00-17:00; Thu:09:00-17:00; Tue:09:00-17:00; Wed:09:00-17:00; Sun:closed; Sat:closed; ,,0
Bob Boast Volkswagen,405234,4827 14th St W,,Bradenton,FL,34207,USA,8442204383,27.4558,-82.5749,Fri:09:00-17:00; Mon:09:00-17:00; Thu:09:00-17:00; Tue:09:00-17:00; Wed:09:00-17:00; Sun:closed; Sat:closed; ,,0
Deel Volkswagen,405224,3601 Bird Road,,Miami,FL,33133,USA,8553831319,25.7353,-80.2534,Fri:09:00-19:30; Mon:09:00-20:00; Sat:09:00-18:00; Sun:12:00-18:00; Thu:09:00-20:00; Tue:09:00-20:00; Wed:09:00-20:00; ,,0
Palmetto57 Volkswagen,405068,16825 Nw 57th Ave,,Miami Gardens,FL,33055,USA,8447113403,25.9270,-80.2925,Fri:09:00-21:00; Mon:09:00-21:00; Sat:09:00-20:00; Sun:11:00-19:00; Thu:09:00-21:00; Tue:09:00-21:00; Wed:09:00-21:00; ,,0
Rick Case Volkswagen Weston,405240,3520 Weston Rd,,Davie,FL,33331,USA,8552545314,26.0777,-80.3619,Fri:09:00-21:00; Mon:09:00-21:00; Sat:09:00-21:00; Sun:11:00-19:00; Thu:09:00-21:00; Tue:09:00-21:00; Wed:09:00-21:00; ,,0
Gunther Volkswagen,405073,1660 S State Road 7,,Davie,FL,33317,USA,9547971660,26.0992,-80.2008,Fri:09:00-17:00; Mon:09:00-17:00; Thu:09:00-17:00; Tue:09:00-17:00; Wed:09:00-17:00; Sun:closed; Sat:closed; ,,0
Bert Smith International,405231,3335 38th Ave N,,Saint Petersburg,FL,33713,USA,7275271111,27.8074,-82.6788,Fri:07:30-18:00; Mon:07:30-18:00; Sat:08:00-17:00; Thu:07:30-18:00; Tue:07:30-18:00; Wed:07:30-18:00; Sun:closed; ,,0
