store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
128 Volvo Cars,AA7RZ,614 North Avenue,"Wakefield, MA 01880",Wakefield,Massachusetts,01880,United States,781-224-3700,42.51509,-71.08728,,,0
"Alan Byer Auto Sales, Inc.",AA7R5,1230 West Genesee Street,"Syracuse, NY 13204",Syracuse,New York,13204,United States,(315) 471-6107,43.05331,-76.17683,,,0
All Star Volvo of Baton Rouge,AD3V8,10101 Coursey Blvd,"Baton Rouge, LA 70816",Baton Rouge,Louisiana,70816,United States,(225) 292-4700,30.4171524,-91.06876,,,0
Almartin Volvo Cars,AA7P5,85 Executive Drive,"Shelburne, VT 05482",Shelburne,Vermont,05482-6476,United States,(800) 639-5088,44.4061165,-73.21489,,,0
Autobahn Motorcars,AA7SQ,3000 White Settlement Road,"Fort Worth, TX 76107",Fort Worth,Texas,76107,United States,(817) 336-0885,32.7592964,-97.36243,,,0
Autobarn Volvo of Oak Park,AEEAM,1140 Garfield Street,"Oak Park, IL  60304",Oak Park,Illinois,60304,United States,708-786-6560,41.8723869,-87.80351,,,0
AutoNation Volvo Cars Bellevue,AEC7H,420 116th Avenue NE,"Bellevue, WA  98004",Bellevue,Washington,98004,United States,(425) 249-7393,47.6179123,-122.1804,,,0
AutoNation Volvo Cars San Jose,ADV7E,4600 Stevens Creek Blvd,"San Jose, CA  95129",San Jose,California,95129,United States,(408) 983-2400,37.3226662,-121.984329,,,0
AutoNation Volvo Cars South Bay,AD2WH,3010 Pacific Coast Highway,"Torrance, CA  90505",Torrance,California,90505,United States,(310) 325-3255,33.7965431,-118.3393,,,0
AutoNation Volvo Cars Spokane,AEEFR,1310 W. 3rd Avenue,"Spokane, WA 99201",Spokane,Washington,99201,United States,(509) 892-9200,47.65355,-117.4312,,,0
Bay Ridge Volvo,AA7QT,8910 Fourth Avenue,"Brooklyn, NY  11209",Brooklyn,New York,11209,United States,(718) 833-7070,40.62059,-74.02944,,,0
Bayway Volvo,AD67O,12353 Gulf Freeway,"Houston, TX 77034",Houston,Texas,77034,United States,(281) 929-6500,29.62011,-95.21971,,,0
Beach Volvo,AC93U,851 Jason Blvd,"Myrtle Beach, SC  29577",Myrtle Beach,South Carolina,29577,United States,(843) 626-3666,33.71211,-78.90632,,,0
Bedard Brothers Volvo Cars,AA7RQ,395 South State Road,"Cheshire, MA 01225",Cheshire,Massachusetts, 01225,United States,(413) 743-0014,42.5508575,-73.16493,,,0
Bergeron Volvo,AA7R0,3525 Veterans Boulevard,"Metairie, LA  70002",Metairie,Louisiana,70002,United States,(504) 293-5283,30.0039463,-90.16007,,,0
Bergstrom Volvo,ADW2N,3030 Victory Lane,"Appleton, WI  54913",Appleton,Wisconsin,54913,United States,(920) 968-5600,44.2896461,-88.46914,,,0
Best Volvo Cars of Rochester,AA7R4,1500 University Avenue,"Rochester, NY  14610 ",Rochester,New York,14610,United States,(585) 473-8530,43.14911,-77.56221,,,0
"Betten Imports, Inc.",AA7YM,5901 28TH ST SE,"Grand Rapids, MI  49546-6907",Grand Rapids,Michigan,49546,United States,(616) 301-2100,42.9132,-85.52053,,,0
