store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Altoona, PA",28,4 Sellers Drive ,,Altoona ,PA,16601,United States,(814) 944-9311,40.461071,-78.408008,Monday 11 AM - 8 PM; Tuesday 11 AM - 8 PM; Wednesday 11 AM - 8 PM; Thursday 11 AM - 8 PM; Friday 11 AM - 8 PM; Saturday 10 AM - 8 PM; Sunday 12 PM - 5 PM; ,,0
"Bel Air, MD",65,2400 E Churchville Rd ,,Bel Air ,MD,21015,United States,(410) 879-3980,39.556619,-76.273577,Monday 10 AM - 9 PM; Tuesday 10 AM - 9 PM; Wednesday 10 AM - 9 PM; Thursday 10 AM - 9 PM; Friday 10 AM - 9 PM; Saturday 10 AM - 9 PM; Sunday 11 AM - 6 PM; ,,0
"Catonsville, MD",62,6415 Baltimore National Pike ,,Catonsville ,MD,21228,United States,(410) 719-6900,39.283854,-76.758543,Monday 10 AM - 9 PM; Tuesday 10 AM - 9 PM; Wednesday 10 AM - 9 PM; Thursday 10 AM - 9 PM; Friday 10 AM - 9 PM; Saturday 10 AM - 9 PM; Sunday 11 AM - 6 PM; ,,0
"Chambersburg, PA",51,480 Gateway Avenue ,,Chambersburg ,PA,17201,United States,(717) 264-9116,39.9380738,-77.6328481,Monday 11 AM - 8 PM; Tuesday 11 AM - 8 PM; Wednesday 11 AM - 8 PM; Thursday 11 AM - 8 PM; Friday 11 AM - 8 PM; Saturday 10 AM - 8 PM; Sunday 12 PM - 5 PM; ,,0
"Frederick, MD",7,1215 West Patrick Street ,,Frederick ,MD,21702,United States,(301) 846-0800,39.419006,-77.4558245,Monday 11 AM - 8 PM; Tuesday 11 AM - 8 PM; Wednesday 11 AM - 8 PM; Thursday 11 AM - 8 PM; Friday 11 AM - 8 PM; Saturday 10 AM - 8 PM; Sunday 12 PM - 5 PM; ,,0
"Furniture Outlet, Frederick MD",52,5830 Ballenger Creek Pike ,,Frederick ,MD,21703,United States,(240) 651-3149,39.393356,-77.438535,Monday 11 AM - 7 PM; Tuesday Call for store hours; Wednesday Call for store hours; Thursday Call for store hours; Friday 10 AM - 8 PM; Saturday 10 AM - 8 PM; Sunday 12 PM - 6 PM; ,,0
"Hagerstown, MD",9,900 Premium Outlets Boulevard ,,Hagerstown ,MD,21740,United States,(301) 790-7933,39.6100333,-77.7343833,Monday 11 AM - 8 PM; Tuesday 11 AM - 8 PM; Wednesday 11 AM - 8 PM; Thursday 11 AM - 8 PM; Friday 11 AM - 8 PM; Saturday 10 AM - 8 PM; Sunday 11 AM - 6 PM; ,,0
"Hanover, PA",50,371 Eisenhower Drive ,,Hanover ,PA,17331,United States,(717) 637-5400,39.824281,-76.985069,Monday 11 AM - 8 PM; Tuesday 11 AM - 8 PM; Wednesday 11 AM - 8 PM; Thursday 11 AM - 8 PM; Friday 11 AM - 8 PM; Saturday 10 AM - 8 PM; Sunday 12 PM - 5 PM; ,,0
"Harrisburg, PA",42,4661 Lindle Road ,,Harrisburg ,PA,17111,United States,(717) 939-7851,40.241311,-76.802543,Monday 11 AM - 8 PM; Tuesday 11 AM - 8 PM; Wednesday 11 AM - 8 PM; Thursday 11 AM - 8 PM; Friday 11 AM - 8 PM; Saturday 10 AM - 8 PM; Sunday 12 PM - 5 PM; ,,0
"Johnstown, PA",32,1130 Scalp Avenue ,,Johnstown ,PA,15904,United States,(814) 266-8987,40.2802833,-78.86265,Monday 11 AM - 8 PM; Tuesday 11 AM - 8 PM; Wednesday 11 AM - 8 PM; Thursday 11 AM - 8 PM; Friday 11 AM - 8 PM; Saturday 10 AM - 8 PM; Sunday 12 PM - 5 PM; ,,0
