store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Shadow Lake,,7549 Towne Center Pkwy ,,Papillion ,NE,68046,United States,(402) 884-7377,,,Sun: 7:00 am - 8:00 pm; Mon: 5:00 am - 11:00 pm; Tue: 5:00 am - 11:00 pm; Wed: 5:00 am - 11:00 pm; Thu: 5:00 am - 11:00 pm; Fri: 5:00 am - 9:00 pm; Sat: 7:00 am - 8:00 pm; ,,0
Cass,,7777 Cass St ,,Omaha ,NE,68114,United States,(402) 343-0486,,,Sun: Open 24 hours; Mon: Open 24 hours; Tue: Open 24 hours; Wed: Open 24 hours; Thu: Open 24 hours; Fri: Open 24 hours; Sat: Open 24 hours; ,,0
Aksarben,,2110 South 67th Street ,,Omaha ,NE,68106,United States,402-763-1400,,,Sun: 7:00 am - 8:00 pm; Mon: 5:00 am - 11:00 pm; Tue: 5:00 am - 11:00 pm; Wed: 5:00 am - 11:00 pm; Thu: 5:00 am - 11:00 pm; Fri: 5:00 am - 9:00 pm; Sat: 7:00 am - 8:00 pm; ,,0
Tara Plaza,,845 Tara Plaza ,,Papillion ,NE,68046,United States,(402) 331-7333,,,Sun: Open 24 hours; Mon: Open 24 hours; Tue: Open 24 hours; Wed: Open 24 hours; Thu: Open 24 hours; Fri: Open 24 hours; Sat: Open 24 hours; ,,0
144th & F,,4007 S 145th Plaza ,,Omaha ,NE,68137,United States,(402) 895-5550,,,Sun: Open 24 hours; Mon: Open 24 hours; Tue: Open 24 hours; Wed: Open 24 hours; Thu: Open 24 hours; Fri: Open 24 hours; Sat: Open 24 hours; ,,0
Sprague,,14651 Sprague St. ,,Omaha ,NE,68116,United States,(402) 201-2933,,,Sun: 7:00 am - 9:00 pm; Mon: 4:00 am - 11:00 pm; Tue: 4:00 am - 11:00 pm; Wed: 4:00 am - 11:00 pm; Thu: 4:00 am - 11:00 pm; Fri: 4:00 am - 9:00 pm; Sat: 7:00 am - 9:00 pm; ,,0
Pine Lake,,1801 Pine Lake Road ,,Lincoln ,NE,68512,United States,402-805-4179,,,Sun: 7:00 am - 8:00 pm; Mon: 5:00 am - 11:00 pm; Tue: 5:00 am - 11:00 pm; Wed: 5:00 am - 11:00 pm; Thu: 5:00 am - 11:00 pm; Fri: 5:00 am - 9:00 pm; Sat: 7:00 am - 8:00 pm; ,,0
O Street,,6140 O Street ,,Lincoln ,NE,68505,United States,402-466-3191,,,Sun: 7:00 am - 8:00 pm; Mon: 5:00 am - 11:00 pm; Tue: 5:00 am - 11:00 pm; Wed: 5:00 am - 11:00 pm; Thu: 5:00 am - 11:00 pm; Fri: 5:00 am - 9:00 pm; Sat: 7:00 am - 8:00 pm; ,,0
Springfield South,,1249 East Battlefield ,,Springfield ,MO,65804,United States,(417) 883-6105,,,Sun: Opens at 7:00 am; Mon: Open 24 hours; Tue: Open 24 hours; Wed: Open 24 hours; Thu: Open 24 hours; Fri: Open until 9:00 pm; Sat: 7:00 am - 9:00 pm; ,,0
Springfield North,,1828 North Glenstone ,,Springfield ,MO,65803,United States,(417) 865-1500,,,Sun: 8:00 am - 7:00 pm; Mon: 5:00 am - 11:00 pm; Tue: 5:00 am - 11:00 pm; Wed: 5:00 am - 11:00 pm; Thu: 5:00 am - 11:00 pm; Fri: 5:00 am - 9:00 pm; Sat: 7:00 am - 7:00 pm; ,,0
St. Joseph,,3107 N. Belt Hwy ,,St. Joseph ,MO,64506,United States,(816) 233-0261,,,Sun: 8:00 am - 7:00 pm; Mon: 5:00 am - 11:00 pm; Tue: 5:00 am - 11:00 pm; Wed: 5:00 am - 11:00 pm; Thu: 5:00 am - 11:00 pm; Fri: 5:00 am - 9:00 pm; Sat: 7:00 am - 7:00 pm; ,,0
Manhattan,,3011 Anderson Ave ,,Manhattan ,Ks,66502,United States,(785) 320-5430,,,Sun: Opens at 7:00 am; Mon: Open 24 hours; Tue: Open 24 hours; Wed: Open 24 hours; Thu: Open 24 hours; Fri: Open until 9:00 pm; Sat: 7:00 am - 9:00 pm; ,,0
