store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
4 Corners Shop 'N Save,8407,372 Us Hwy 1,,Columbia,ME,04623,,207-483-9732,44.6090626,-67.8847286,,,
Airport Mall Hannaford,8109,1133 Union St.,Airport Mall,Bangor,ME,04401,,207-942-0100,44.8189,-68.8114,,,
Alton Hannaford,8247,80 Wolfeboro Highway,,Alton,NH,03809,,603-875-4300,43.453714,-71.211223,,,
Amsterdam Hannaford,8363,4901 State Highway,15 Hannaford Plaza,Amsterdam,NY,12010,,518-843-5854,42.967726,-74.185203,,,
Auburn Hannaford,8347,95 Spring Street,,Auburn,ME,04210,,207-784-6497,44.0961,-70.2289,,,
Augusta Cony Hannaford,8250,118 Cony Street,,Augusta,ME,04330,,207-621-2570,44.3161,-69.7666,,,
Ayer Shop 'n Save,8811,22 Fitchburg Rd,,Ayer,MA,01432,,978-796-5261,42.57026,-71.59584,,,
Ballston Spa Hannaford,8394,11 Trieble Ave,,Ballston Spa,NY,12020,,518-885-6384,43.047372,-73.852619,,,
Bar Harbor Hannaford,8224,86 Cottage St,,Bar Harbor,ME,04609,,207-288-5680,44.388392,-68.210616,,,
Barre Hannaford,8129,456 South Barre Road,,Barre,VT,05641,,802-479-3326,44.175,-72.5061,,,
Bayside Shop 'n Save,8124,PO Box 190,304 Main Street,Milbridge,ME,04658,,207-546-7200,44.5695358,-67.8853476,,,
Bedford Hannaford,8436,7 Kilton Road,,Bedford,NH,03110,,603-625-5431,42.956966,-71.479028,,,
Bedford Hannaford,8305,4 Jenkins Road,,Bedford,NH,03110,,603-472-2627,42.921493,-71.536032,,,
Belfast Hannaford,8241,93 Lincolnville Ave,,Belfast,ME,04915,,207-338-5377,44.4205,-69.0186,,,
Bennington Hannaford,8301,141 Hannaford SQ.,Ste. 2,Bennington,VT,05201,,802-442-1521,42.907411,-73.221182,,,
Bethel Foodliner  ME,8114,71 Main Street,P.O. Box 1387,Bethel,ME,04217,,207-824-2121,44.4056085,-70.7900979,,,
Biddeford Hannaford,8225,299 Elm Street,,Biddeford,ME,04005,,207-284-8677,43.48698,-70.46529,,,
