store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Ancaster,,839 Golf Links Road,,Ancaster,ON,,Canada,905.304.1721,,,,,0
Barrie,,70 Mapleview Drive West,,Barrie,ON,,Canada,705.722.4737,,,,,0
Boisbriand,,3395 Av Des Grandes Tourelles,,Boisbriand,QC,,Canada,450.419.9785,,,,,0
Brampton,,154 West Drive,,Brampton,ON,,Canada,905.457.5200,,,,,0
Buffalo (Walden Galleria),,2000 Walden Avenue,,Buffalo,NY,,United States,716.684.7693,,,,,0
Burlington,,3140 South Service Road,,Burlington,ON,,Canada,905.333.0066,,,,,0
Calgary,,9823 MacLeod Trail South West,,Calgary,AB,,Canada,403.252.2246,,,,,0
Dartmouth (Dartmouth Crossing),,107 Shubie Drive,,Dartmouth,NS,,Canada,902.468.6080,,,,,0
Dorval,,3051 boul. des Sources,,Dorval,QC,,Canada,514.685.5225,,,,,0
Greenfield Park,,3500 boul. Taschereau,,Greenfield Park,QC,,Canada,450.671.4444,,,,,0
Halifax (Bayers Lake),,184 Chain Lake Drive,,Halifax,NS,,Canada,902.450.1370,,,,,0
Hunt Club,,310 West Hunt Club Rd,,Ottawa,ON,,Canada,613-225-4686,,,,,0
Kanata,,125 Roland Michener Drive,,Kanata,ON,,Canada,613.271.1041,,,,,0
Kingston,,330 King Street East,,Kingston,ON,,Canada,613.549.1207,,,,,0
Kitchener,,2960 Kingsway Drive,,Kitchener,ON,,Canada,519.748.1604,,,,,0
Lansdowne Park,,425 March Way,,Ottawa,ON,,Canada,613-565-4862,,,,,0
Laval,,1820 Pierre-Pladeau Ave,,Laval,QC,,Canada,450.681.6683,,,,,0
London (North),,88 Fanshawe Park Road East,,London,ON,,Canada,519.663.2091,,,,,0
London (Richmond Row),,660 Richmond Street,,London,ON,,Canada,519.642.0708,,,,,0
London (South),,1070 Wellington Road South,,London,ON,,Canada,519.680.3800,,,,,0
Mississauga (Argentia),,2967 Argentia Road,,Mississauga,ON,,Canada,905.817.1670,,,,,0
Mississauga (Dundas/403),,3047 Vega Blvd,,Mississauga,ON,,Canada,905.820.4511,,,,,0
Mississauga (Square One),,219 Rathburn Road West,,Mississauga,ON,,Canada,905.566.4662,,,,,0
Newmarket,,17830 Yonge Street,,Newmarket,ON,,Canada,905.967.0401,,,,,0
Pickering,,1355 Kingston Road,,Pickering,ON,,Canada,905.839.2226,,,,,0
Richmond Hill,,155 York Boulevard,,Richmond Hill,ON,,Canada,905.771.9191,,,,,0
Scarborough,,580 Progress Avenue,,Scarborough,ON,,Canada,416.296.0965,,,,,0
St Catharines,,400 Ontario Street,,St. Catharines,ON,,Canada,905.988.5677,,,,,0
St. John's,,125 Harbour Drive,,St. John's,NL,,Canada,709-726-8524,,,,,0
Stoney Creek (Eastgate Square),,75 Centennial Parkway North,,Stoney Creek,ON,,Canada,905.560.5254,,,,,0
Toronto (Front St),,144 Front Street West,,Toronto,ON,,Canada,416.585.2121,,,,,0
Toronto (John St),,133 John Street,,Toronto,ON,,Canada,416.595.9100,,,,,0
Toronto (Sherway Gardens),,1900 The Queensway,,Toronto,ON,,Canada,416.626.2700,,,,,0
Toronto (Shops at Don Mills),,1060 Don Mills Road,,Toronto,ON,,Canada,416.331.9238,,,,,0
Toronto (St Lawrence Market),,73 Front Street East,,Toronto,ON,,Canada,416-603-8509,,,,,0
Toronto (Yonge & Bloor),,2 Bloor Street East,,Toronto,ON,,Canada,416.923.1555,,,,,0
Toronto (Yonge & Dundas),,10 Dundas Street East,,Toronto,ON,,Canada,416.263.9800,,,,,0
Toronto (Yonge & Sheppard),,5051 Yonge Street,,Toronto,ON,,Canada,416.221.1221,,,,,0
Toronto Airport (Hwy 27 & Dixon),,25 Carlson Court,,Toronto,ON,,Canada,416.213.1688,,,,,0
Vaughan,,10 Colossus Drive,,Vaughan,ON,,Canada,905.264.3790,,,,,0
Whitby,,75 Consumers Drive,,Whitby,ON,,Canada,905.666.9429,,,,,0
