store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Intercontinental,8242,350 St Antoine O,350 St Antoine O,Montreal,QC,,Canada,514-289-5353,45.503005,-73.560368,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
Union,8224,626 Sherbrooke O,626 Sherbrooke O,Montreal,QC,,Canada,514-286-1991,45.505505,-73.573018,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
McGill,8234,124 McGill,124 McGill,Montreal,QC,,Canada,514-954-0707,45.499541,-73.555858,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
Guy,8220,1455 Rue Guy,1455 Rue Guy,Montreal,QC,,Canada,514-903-2776,45.495794,-73.579079,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
Natrel Milk Bar by Java U,9556,2451 Notre-Dame St O,2451 Notre-Dame St O,Montreal,QC,H3J 1N6,Canada,(514) 903-4500,45.48336,-73.574798,Monday 7:00 AM - 9:00 PM; Tuesday 7:00 AM - 9:00 PM; Wednesday 7:00 AM - 9:00 PM; Thursday 7:00 AM - 9:00 PM; Friday 7:00 AM - 9:00 PM; Saturday 8:00 AM - 8:00 PM; Sunday 8:00 AM - 8:00 PM; ,,0
Saint Catherine,8228,4104 Ste. Catherine O,4104 Ste. Catherine O,Westmount,QC,,Canada,514-938-8188,45.487359,-73.586488,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
Cote des Neiges,8226,5620 Ch. De la Cote-des-Neiges,5620 Ch. De la Cote-des-Neiges,Montreal,QC,,Canada,514-439-7788,45.498,-73.626858,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
Auto Rev,8230,4775 Jean Talon O,4775 Jean Talon O,Montreal,QC,,Canada,514-345-9319,45.498877,-73.648438,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
Ferrier,8244,5345 Ferrier,5345 Ferrier,Town of Mount Royal,QC,,Canada,514-737-2220,45.496672,-73.659109,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
Decarie,8232,333 boul. Decarie,333 boul. Decarie,Saint-Laurent,QC,,Canada,514-439-1285,45.506697,-73.669711,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
Trudeau Aiport,9559,"Montreal-Pierre Elliott Trudeau International Airport, 975 Romeo-Vachon Blvd N","Montreal-Pierre Elliott Trudeau International Airport, 975 Romeo-Vachon Blvd N",Dorval,QC,H4Y 1H2,Canada,(514) 636-4449,45.458082,-73.75091,,,0
Carrefour Laval,8238,Carrefour Laval,Carrefour Laval,Laval,QC,,Canada,450-934-9224,45.570115,-73.751852,Monday 6:30 AM - 10:00 PM; Tuesday 6:30 AM - 10:00 PM; Wednesday 6:30 AM - 10:00 PM; Thursday 6:30 AM - 10:00 PM; Friday 6:30 AM - 11:00 PM; Saturday 7:00 AM - 11:00 PM; Sunday 7:00 AM - 10:00 PM; ,,0
