store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Durham, NC",,2000 Avondale Dr Suite D1,,Durham,NC,27704,United States,919.682.2159,36.0162602038276,-78.88506371719666,Mon-Sat: 10am-8pm,,0
"Concord, NC",,929 Concord Parkway S Suite G,,Concord,NC,28027,United States,704.782.3174,35.39312186897847,-80.61810236137694,Mon-Sat: 10am-7pm,,0
"Charlotte, NC - Wilkinson",,3525 Wilkinson Blvd,,Charlotte,NC,28208,United States,704.393.3001,35.22395420000001,-80.89955536137694,Mon-Sat: 10am-8pm,,0
"Charlotte, NC - North Park",,103 Eastway Dr,,Charlotte,NC,28213,United States,704.598.3833,35.25876414228353,-80.77531741796872,Mon-Sat: 10am-8pm,,0
"Charlotte, NC - South Blvd",,4524 South Blvd A,,Charlotte,NC,28209,United States,704.523.7693,35.18015531344891,-80.8764075968262,Mon-Sat: 10am-8pm,,0
"Albemarle, NC",,636 NC 24 27 Bypass E Ste 23E,,Albemarle,NC,28001,United States,704.983.4143,35.34248550321553,-80.17396742327878,Mon-Sat: 10am-7pm,,0
"Asheboro, NC",,460 N Fayetteville St,,Asheboro,NC,27203,United States,336.629.3104,35.71234096372065,-79.81148066931155,Mon-Sat: 10am-8pm,,0
"Florence, SC",,1639 W Palmetto St,,Florence,SC,29501,United States,843.662.5219,34.19108288558949,-79.79973427235257,Mon-Sat: 10am-8pm,,0
"West Columbia, SC",,2322 Augusta Rd,,West Columbia,SC,29169,United States,803.796.9267,33.984436061739636,-81.09789133677066,Mon-Sat: 10am-8pm,,0
"Columbia, SC - Marshall St",,2300 Marshall St,,Columbia,SC,29203,United States,803.252.4898,34.03148575880604,-81.02526403558198,Mon-Sat: 10am-7pm,,0
"Columbia, SC - Garner's Ferry Rd",,7545 Garner's Ferry Rd,,Columbia,SC,29209,United States,803.776.8838,33.95985784940478,-80.94218418895491,Mon-Sat: 10am-8pm,,0
"Chester, SC",,1452 J A Cochran Bypass,,Chester,SC,29706,United States,803.377.4133,34.693235767946604,-81.19490509325408,Mon-Sat: 10am-6pm,,0
"Cheraw, SC",,159 Market St,,Cheraw,SC,29520,United States,843.537.5291,34.69749833721784,-79.88294553439329,Mon-Sat: 10am-6pm,,0
"Camden, SC",,1000 Broad St,,Camden,SC,29020,United States,803.432.2477,34.244920831119316,-80.60653432883606,Mon-Sat: 10am-7pm,,0
"Belton, SC",,414 S Main St,,Belton,SC,29627,United States,864.338.5800,34.51595286713499,-82.48393804418026,Mon-Sat: 10am-6pm,,0
