store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
1505 South Federal Highway,,1505 South Federal Highway,,Dania,FL,33004,United States,954-922-1128,,,,,0
4999 South State Road 7,,4999 South State Road 7,,Davie,FL,33314,United States,954-922-1128,,,,,0
891 West Commercial Blvd.,,891 West Commercial Blvd.,,Ft. Lauderdale,FL,33309,United States,954-922-1128,,,Open 24 hrs,,0
828 West Oakland Park Blvd.,,828 West Oakland Park Blvd.,,Ft. Lauderdale,FL,33311,United States,954-922-1128,,,,,0
661 West Sunrise Blvd. ,,661 West Sunrise Blvd. ,,Ft. Lauderdale,FL,33311,United States,954-922-1128,,,,,0
300 Terminal Drive (Delta Terminal),,300 Terminal Drive (Delta Terminal),,Ft. Lauderdale,FL,33315,United States,954-922-1128,,,,,0
116 W. Hallandale Beach Blvd. ,,116 W. Hallandale Beach Blvd. ,,Hallandale Beach,FL,33009,United States,954-922-1128,,,Open 24 hrs,,0
2749 Hollywood Blvd.,,2749 Hollywood Blvd.,,Hollywood,FL,33020,United States,954-922-1128,,,,,0
1955 South State Road 7,,1955 South State Road 7,,West Park,FL,33023,United States,954-922-1128,,,Open 24 hrs,,0
5001 North University Drive,,5001 North University Drive,,Lauderhill,FL,33351,United States,954-922-1128,,,,,0
7781 Pines Blvd.,,7781 Pines Blvd.,,Pembroke Pines,FL,33024,United States,954-922-1128,,,,,0
11501 Pines Blvd.  ,,11501 Pines Blvd.  ,,Pembroke Pines,FL,33026,United States,954-922-1128,,,,,0
210 SW 40th Avenue,,210 SW 40th Avenue,,Plantation,FL,33317,United States,954-922-1128,,,Open 24 hrs,,0
750 West Sample Road,,750 West Sample Road,,Pompano Beach,FL,33064,United States,954-922-1128,,,,,0
317 W. Atlantic Blvd.,,317 W. Atlantic Blvd.,,Pompano Beach,FL,33060,United States,954-922-1128,,,,,0
619 North State Road 7,,619 North State Road 7,,Margate,FL,33063,United States,954-922-1128,,,,,0
14001 SW 88th Street,,14001 SW 88th Street,,Kendall,FL,33186,United States,954-922-1128,,,,,0
5875 NW 36th Street,,5875 NW 36th Street,,Miami,FL,33166,United States,954-922-1128,,,,,0
600 NE 167th Street,,600 NE 167th Street,,Miami,FL,33162,United States,954-922-1128,,,,,0
19000 NW 2nd Avenue,,19000 NW 2nd Avenue,,North Miami,FL,33169,United States,954-922-1128,,,,,0
4320 NW 167th Street ,,4320 NW 167th Street ,,North Miami,FL,33054,United States,954-922-1128,,,,,0
3700 NW 42 Ave,,3700 NW 42 Ave,,Miami Springs,FL,33166,United States,954-922-1128,,,,,0
18660 South Dixie Hwy,,18660 South Dixie Hwy,,Cutler Bay,FL,33157,United States,954-922-1128,,,,,0
1541 Washington Ave. (South Beach),,1541 Washington Ave. (South Beach),,Miami Beach,FL,33139,United States,954-922-1128,,,,,0
4513 Lake Worth Road,,4513 Lake Worth Road,,Green Acres City,FL,33463,United States,954-922-1128,,,,,0
952 Northlake Blvd. ,,952 Northlake Blvd. ,,Lake Park,FL,33403,United States,954-922-1128,,,,,0
1851 Broadway,,1851 Broadway,,Riviera Beach,FL,33404,United States,954-922-1128,,,,,0
7750 Okeechobee Blvd.,,7750 Okeechobee Blvd.,,Coming Soon!,FL,33411,United States,,,,,,1
Relocating. Check back soon!,,Relocating. Check back soon!,,Deerfield Beach,FL,,United States,,,,,,1
"460 S Rosemary Ave., Suite 186 City Place",,"460 S Rosemary Ave., Suite 186 City Place",,West Palm Beach,FL,33041,United States,954-922-1128,,,,,0
1800 N. Roosevelt Blvd. ,,1800 N. Roosevelt Blvd. ,,Key West,FL,33040,United States,954-922-1128,,,,,0
250 Hearon Circle,,250 Hearon Circle,,Spartanburg,SC,29303,United States,954-922-1128,,,,,0
Relocating. Check back soon!,,Relocating. Check back soon!,,Waipahu,HI,96797,United States,,,,,,1
South Texas,,South Texas,,,Texas,,United States,954-922-1128,,,,,0
5858 Bluffton Road.,,5858 Bluffton Road.,,Fort Wayne,IN,46809,United States,954-922-1128,,,,,0
1391 Walter Reed Road,,1391 Walter Reed Road,,Fayetteville,NC	28304,,United States,954-922-1128,,,,,0
,,,,Yangon,,,Myanmar,,,,,,0
Tocumen International Airport,,,,,,,Panama,,,,,,0
Coming soon - SACC Mall,,,,Shah Alam,,,Malaysia,,,,,,0
