store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
UTAH | BOUNTIFUL / N SALT LAKE,,1050 N 500 E,,North Salt Lake,UT,84054,United States,(801) 683-3075,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | CITY CREEK - SALT LAKE CITY,,28 South State Street #235,,Salt Lake City,UT,84101,United States,(801) 428-3051 ,,,7am to 9pm (Monday thru Friday) - 8am to 9pm (Saturday) - Closed Sunday,,0
UTAH | DRAPER,,177 East 13800 South,,Draper,UT,84020,United States,(801) 838-7700,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | FT. UNION,,742 E Ft. Union Blvd,,Midvale,UT,84047,United States,(801) 563-1991,,,7am to 9pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | HEBER,,1020 South Main Street,,Heber,UT,84032,United States,(435) 657-7700,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | JORDAN LANDING,,7713 South Jordan Landing Blvd,,West Jordan,UT,84084,United States,801-282-0025,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | KAYSVILLE,,1324 West 200 North,,Kaysville,UT,84037,United States,(801) 336-3036,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | LAYTON,,480 West Antelope Drive,,Layton,UT,84041,United States,(801) 416-8240,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | LEHI,,1384 East UT 92,,Lehi,UT,84043,United States,(801) 768-9977,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | LOGAN,,1675 North Main Street,,Logan,UT,84341,United States,(435) 245-8810 ,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | NEWPARK - PARK CITY,,1476 W. Newpark Blvd,,Suite 110 | Park City,Utah,84098,United States,(435) 776-3010,,,7am to 9pm (Monday thru Sunday),,0
UTAH | OGDEN,,1953 Washington Blvd,,Ogden,UT,84401,United States,(801) 781-2900,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | OREM,,1960 N State,,Orem,UT,84057,United States,(801) 764-9451,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | PROVO - BULLDOG,,295 West 1230 North,,Provo,UT,84604,United States,(801) 812-2200,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | PROVO - RIVERWOODS,,4833 Edgewood Drive Suite 200,,Provo,UT,84604,United States,(801) 224-0101,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | RIVERTON,,5083 W 13400 South,,Riverton,UT,84096,United States,(801) 253-1060,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
UTAH | SARATOGA SPRINGS,,1484 N. Redwood Road,,Saratoga Springs,UT,84045,United States,(801) 407-8363,,,7am to 10pm (Monday thru  Saturday) - Closed Sunday,,0
