store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Gilbert - Power & Ray,,4972 S Power Rd,,Gilbert ,AZ ,85236 ,United States,(480) 988-7029,,,Monday 10:30 AM - 11:00 PM; Tuesday 10:30 AM - 11:00 PM; Wednesday 10:30 AM - 11:00 PM; Thursday 10:30 AM - 11:00 PM; Friday 10:30 AM - 12:00 AM; Saturday 10:30 AM - 11:00 PM; Sunday 10:30 AM - 11:00 PM; ,,0
Chandler - Alma School,,2885 S Alma School Rd,,Chandler ,AZ ,85286 ,United States,(480) 883-8284,,,Monday 11:00 AM - 11:00 PM; Tuesday 11:00 AM - 11:00 PM; Wednesday 11:00 AM - 11:00 PM; Thursday 11:00 AM - 11:00 PM; Friday 11:00 AM - 11:00 PM; Saturday 11:00 AM - 11:00 PM; Sunday 11:00 AM - 11:00 PM; ,,0
Glendale,,7273 N 95th Ave,,Glendale ,AZ ,85305 ,United States,(623) 877-4500,,,Monday 11:00 AM - 11:00 PM; Tuesday 11:00 AM - 11:00 PM; Wednesday 11:00 AM - 11:00 PM; Thursday 11:00 AM - 11:00 PM; Friday 11:00 AM - 1:00 AM; Saturday 11:00 AM - 1:00 AM; Sunday 11:00 AM - 11:00 PM; ,,0
Tempe,,1301 E. Broadway Rd,,Tempe ,AZ ,85282 ,United States,(480) 921-2556,,,Monday 11:00 AM - 12:00 AM; Tuesday 11:00 AM - 12:00 AM; Wednesday 11:00 AM - 12:00 AM; Thursday 11:00 AM - 1:00 AM; Friday 11:00 AM - 1:00 AM; Saturday 11:00 AM - 1:00 AM; Sunday 11:00 AM - 12:00 AM; ,,0
Oro Valley,,11107 N Oracle Rd,,Oro Valley ,Arizona ,85737 ,United States,,,,Monday 11:00 AM - 11:00 PM; Tuesday 11:00 AM - 11:00 PM; Wednesday 11:00 AM - 11:00 PM; Thursday 11:00 AM - 11:00 PM; Friday 11:00 AM - 12:00 AM; Saturday 11:00 AM - 12:00 AM; Sunday 11:00 AM - 11:00 PM; ,,1
Show Low,,391 W. Deuce of Clubs,,Show Low ,AZ ,85901 ,United States,(928) 532-5100,,,Monday 11:00 AM - 10:00 PM; Tuesday 11:00 AM - 10:00 PM; Wednesday 11:00 AM - 10:00 PM; Thursday 11:00 AM - 10:00 PM; Friday 11:00 AM - 12:00 AM; Saturday 11:00 AM - 12:00 AM; Sunday 11:00 AM - 10:00 PM; ,,0
Tucson - Speedway,,3100 E. Speedway Blvd,,Tucson ,AZ ,85716 ,United States,(520) 325-3489,,,Monday 10:30 AM - 11:00 PM; Tuesday 10:30 AM - 11:00 PM; Wednesday 10:30 AM - 11:00 PM; Thursday 10:30 AM - 11:00 PM; Friday 10:30 AM - 1:00 AM; Saturday 10:30 AM - 1:00 AM; Sunday 10:30 AM - 11:00 PM; ,,0
Buckeye,,457 South Watson Road,,Buckeye ,AZ ,85326 ,United States,(623) 386-2585,,,Monday 11:00 AM - 10:00 PM; Tuesday 11:00 AM - 10:00 PM; Wednesday 11:00 AM - 10:00 PM; Thursday 11:00 AM - 10:00 PM; Friday 11:00 AM - 11:00 PM; Saturday 11:00 AM - 11:00 PM; Sunday 11:00 AM - 10:00 PM; ,,0
Chandler - Gilbert/Germann,,2110 S Gilbert Rd Chandler,,Chandler ,AZ ,85286 ,United States,(480) 782-0840,,,Monday 11:00 AM - 12:00 AM; Tuesday 11:00 AM - 12:00 AM; Wednesday 11:00 AM - 12:00 AM; Thursday 11:00 AM - 12:00 AM; Friday 11:00 AM - 2:00 AM; Saturday 11:00 AM - 2:00 AM; Sunday 11:00 AM - 12:00 AM; ,,0
Mesa - Gilbert Rd,,1559 S. Gilbert Road,,Mesa ,AZ ,85204 ,United States,(480) 892-1010,,,Monday 11:00 AM - 1:00 AM; Tuesday 11:00 AM - 1:00 AM; Wednesday 11:00 AM - 1:00 AM; Thursday 11:00 AM - 2:00 AM; Friday 11:00 AM - 2:00 AM; Saturday 11:00 AM - 2:00 AM; Sunday 11:00 AM - 1:00 AM; ,,0
Avondale,,10220 W. McDowell #160,,Avondale ,AZ ,85392 ,United States,(623) 907-8181,,,Monday 11:00 AM - 12:00 AM; Tuesday 11:00 AM - 12:00 AM; Wednesday 11:00 AM - 12:00 AM; Thursday 11:00 AM - 12:00 AM; Friday 11:00 AM - 1:30 AM; Saturday 11:00 AM - 1:30 AM; Sunday 11:00 AM - 12:00 AM; ,,0
Phoenix - I-17 & Dunlap,,10004 North 26th Drive,,Phoenix ,AZ ,85021 ,United States,(602) 944-2891,,,Monday 11:00 AM - 10:00 PM; Tuesday 11:00 AM - 10:00 PM; Wednesday 11:00 AM - 10:00 PM; Thursday 11:00 AM - 10:00 PM; Friday 11:00 AM - 12:00 AM; Saturday 11:00 AM - 12:00 AM; Sunday 11:00 AM - 10:00 PM; ,,0
Boise - State Street ,,7700 W State St. Suite #110,,Boise ,Idaho ,83714 ,United States,(208) 608-5474,,,Monday 11:00 AM - 11:00 PM; Tuesday 11:00 AM - 11:00 PM; Wednesday 11:00 AM - 11:00 PM; Thursday 11:00 AM - 11:00 PM; Friday 11:00 AM - 12:00 AM; Saturday 11:00 AM - 12:00 AM; Sunday 11:00 AM - 11:00 PM; ,,0
Nampa,,16808 N. Marketplace Boulevard,,Nampa ,Idaho ,83687 ,United States,208-475-4799,,,Monday 11:00 AM - 11:00 PM; Tuesday 11:00 AM - 11:00 PM; Wednesday 11:00 AM - 11:00 PM; Thursday 11:00 AM - 11:00 PM; Friday 11:00 AM - 12:00 AM; Saturday 11:00 AM - 12:00 AM; Sunday 11:00 AM - 11:00 PM; ,,0
