store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Onelife Fitness KC Logo,,1261 Main Street ,,Kansas City ,MO,64105,United States,"
1261 Main Street",,,,,0
"South Frederick, MD Gym",,5728 Buckeystown Pike,,Frederick,MD,21704,United States,(301) 698-4653,39.3927915,-77.4121577,Mon - Thu: 4:30 AM - 11:00 PM ; Fri: 4:30 AM - 10:00 PM; Sat - Sun: 7:00 AM - 8:00 PM ; Mon - Fri: 8:45 AM - 1:00 PM; Mon - Thu: 4:00 PM - 8:30 PM; Fri: 4:30 PM - 7:30 PM; Sat - Sun: 8:00 AM - 1:00 PM,,0
"North Frederick, MD Gym",,2500 Osprey Way,,Frederick,MD,21701,United States,(301) 668-2940,39.4481747,-77.394452,Mon - Fri: 4:00 AM - 11:00 PM ; Sat: 7:00 AM - 8:00 PM ; Sun: 7:00 AM - 7:00 PM; Mon - Fri: 8:30 AM - 12:30 PM; Mon - Thu: 4:30 PM - 8:30 PM; Fri: 4:30 PM - 6:30 PM; Sat: 8:30 AM - 1:00 PM; Sun: 9:00 AM - 12:30 PM; Opens: 15 mins After Club; Closes: 15 mins Before Club,,0
Onelife Fitness Holly Springs ,,4512 Holly Springs Parkway,,Holly Springs,GA,30115,United States,,,,,,1
Onelife Fitness Perimeter,,1131 Hammond Dr NE,,Dunwoody,GA,30346,United States,(770) 415-5700,,,,,0
Windermere Gym,,3775 Windermere Pkwy,,Cumming,GA,30041,United States,(770) 888-0022,,,Mon - Thurs: 5 AM - 11 PM ; Fri: 5 AM - 10 PM ; Sat/Sun: 8 AM - 6 PM,,0
Vickery Gym,,6045 Post Road,,Cumming,GA,30040,United States,(770) 844-1774,,,Mon - Thurs: 5 AM - 11 PM ;  Fri: 5 AM - 10 PM ;  Sat/Sun: 8 AM - 6 PM,,0
Newnan Sports Club Gym,,460 Newnan Crossing Bypass,,Newnan,GA,30263,United States,(770) 251-9909,,,Mon - Thurs: 5 AM - 10 PM ; Fri: 5 AM - 9 PM ; Sat/Sun: 8 AM - 6 PM,,0
Newnan Express Gym,,"19 Millard Farmer Ind Blvd, Ste A",,Newnan,GA,30263,United States,(770) 251-9950,,,Mon - Fri: 24 Hours ; Sat: 8 AM - 6 PM ; Sun: 8 AM - 6 PM,,0
Crabapple Gym,,12315 Crabapple Road,,Alpharetta,GA,30004,United States,(770) 360-9997,,,Mon - Thurs: 5 AM - 11 PM ; Fri: 5 AM - 10 PM ; Sat/Sun: 8 AM - 6 PM;  ;,,0
Carrollton Gym,,"812 S. Park Street, Suite 12",,Carrollton,GA,30117,United States,(770) 838-2211,,,Mon - Thurs: 5 AM - 10 PM ;  Fri: 5 AM - 9 PM ;  Sat: 8 AM - 6 PM ;  Sun: 8 AM - 6 PM,,0
 Onelife Fitness Tech Center,,12090 Jefferson Ave.,,Newport News,VA,23606,United States,757-342-6017,37.103603,-76.491667,,,1
 Onelife Fitness Red Mill,,1650 General Booth Blvd.,,Virginia Beach,VA,23454,United States,,36.782102,-75.999024,,,1
"Woodbridge, VA Gym",,2401 Rock Bridge Court,,Woodbridge,VA,22192,United States,(703) 897-0200,38.628344,-77.286160,Mon - Fri: 4:00 AM - 11:00 PM ; Sat: 7:00 AM - 8:00 PM ; Sun: 7:00 AM - 7:00 PM; Mon - Fri: 8:30 AM - 12:30 PM; Mon - Thu: 4:30 PM - 8:30 PM; Fri: 4:30 PM - 6:30 PM; Sat: 8:30 AM - 12:30 PM; Sun: 9:00 AM - 12:00 PM; Opens same time the club opens; Closes 30 minutes before the club closes,,0
VA Beach Blvd Gym,,2844 Virginia Beach Blvd ,,Virginia Beach,VA,23452,United States,(757) 340-4800,36.844070,-76.069669,Mon - Thurs: 5 AM - 11 PM ;  Fri: 5 AM - 10 PM ;  Sat: 7 AM - 8 PM ;  Sun: 8 AM - 8 PM; Mon - Fri: 9 AM - 1:30 PM; Mon - Fri: 3:30 PM - 8:30 PM; Sat - Sun: 9 - 1:30 PM,,0
"Stafford, VA Gym",,315 Garrisonville Road,,Stafford,VA,22554,United States,(540) 659-3488,38.473904,-77.421357,Mon - Fri: 3:00 AM - 12:00 AM ; Sat: 6:00 AM - 9:00 PM ; Sun: 6:00 AM - 8:00 PM; Mon - Fri: 8:30 AM - 2:30 PM; Mon - Thu: 4:30 PM - 8:30 PM; Fri: 4:30 PM - 6:30 PM; Sat: 8:30 AM - 4:00 PM; Sun: 8:30 AM - 2:30 PM,,0
"Skyline, Falls Church, VA Gym",,5115 Leesburg Pike ,,Falls Church,VA,22041,United States,(703) 820-4100  ,38.844496,-77.118677,Mon - Thurs: 5 AM - 10 PM ;  Fri: 5 AM - 9 PM ;  Sat - Sun: 7 AM - 8 PM ; Mon - Fri: 9 AM - 1:30 PM; Mon - Fri: 4:30 PM - 8 PM; Sat: 9 AM - 1:30 PM; Sun: 9 AM - 1PM,,0
"Reston, VA Gym",,11445 Isaac Newton Sq S,,Reston,VA,20190,United States,(703) 904-7600,38.952158,-77.338770,Mon - Fri: 5:00AM - 10:00PM ; Sat - Sun: 7:00AM - 8:00PM; Mon -  8:30 AM - 1:30PM & 4:00PM - 8:30PM; Tues -Thu: 8:30AM - 1:30PM & 4:00PM - 8:00PM; Fri: 8:30am- 1:30PM; Sat - Sun: 9:00AM - 1:30PM,,0
Princess Anne Gym,,3809 Princess Anne Rd,,Virginia Beach,VA,23456,United States,p: (757) 471-6900,36.785363,-76.109144,Mon - Thurs: 5 AM - 11 PM ;  Fri: 5 AM - 10 PM ;  Sat: 7 AM - 8 PM ;  Sun: 8 AM - 8 PM; Mon - Fri: 9 - 1:30 PM; Mon - Fri: 3:30 PM - 8:30 PM; Sat - Sun: 9 - 1:30 PM,,0
Norfolk Gym,,1900 Monticello Ave ,,Norfolk,VA,23517,United States,p: (757) 248-4800,36.865688,-76.283763,Mon - Thurs: 5 AM - 11 PM ;  Fri: 5 AM - 10 PM ;  Sat: 7 AM - 8 PM ;  Sun: 8 AM - 8 PM; Mon - Fri: 9 AM - 1:30 PM; Mon - Fri: 3:30 PM - 8:30 PM; Sat - Sun: 9 AM - 1:30 PM,,0
Newport News 24 Hour Xpress Gym,,11805 Fountain Way ,,Newport News,VA,23606,United States,p: (757) 599-5433,37.085325,-76.472934,Mon - Thurs: Open 24 Hours ;  Fri: 12 AM - 10 PM ;  Sat: 7 AM - 8 PM,,0
