store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"St. Joseph, MO",67,3702 Frederick Avenue,,St Joseph,MO,64506,United States,(816) 671-0311,39.776951,-94.803177,"Every Day

	10:30am-11pm",,0
"Columbia, MO",62,421 N. Stadium Blvd,,Columbia,Mo,65203,United States,(573) 445-3096,38.960884,-92.371277,"Sun-Th 10:30am - 10pm
	Fri-Sat 10:30am - 11pm",,0
"Columbia, MO",82,1101 Grindstone Pkwy Ste 101,,Columbia,MO,65201,United States,573-445-5633,38.911552,-92.322678,"Sun - Thur 10:30am-10pm
	Fri - Sat 10:30am-11pm",,0
"Columbia, MO",76,2900 Trimble Rd Suite 109,,Columbia,MO,65201,United States,(573) 447-2900,38.947945,-92.295242,"Sun - Thur 10:30-10pm

	Fri - Sat 10:30am-11pm",,0
West Des Moines,11,165 S Jordan Creek Pkwy,,West Des,Moines,,United States,(515) 223-4471,41.567154,-93.810600,"Every Day

	10:30am - 10pm",,0
Des Moines,81,2708 Ingersoll Avenue,,Des Moines,,50312,United States,515-777-2898,41.585297,-93.653427,"sun-wed 10:30am-12am
	thu-sat 10:30am-2:30am",,0
Urbandale,24,3265 100TH St.,,Urbandale,IA,50322,United States,(515) 252-0900,41.625275,-93.755730,SUN-SAT 10:30am-10pm,,0
Johnston,14,8759 Northpark Drive,,Johnston,IA,50131,United States,(515) 270-9100,41.655739,-93.738205,"MON-SAT 10:30am-10pm

	SUN 10:30am-9pm",,0
"Grimes, IA",91,2250 East 1st St Suite 400,,Grimes,IA,50111,United States,515-986-4433,41.688370,-93.775848,"Sun - Th 10:30am-11pm

	Fri - Sat 10:30am-12am",,0
"Altoona, IA",66,3580 8th St. SW,,Altoona,IA,50009,United States,(515) 967-3833,41.643524,-93.505730,"SUN-TH 10:30am - 11pm

	FRI-SAT 10:30am - 12am",,0
Ankeny,27,2310 SE Delaware Ave.,,Ankeny,IA,50021,United States,(515) 289-4173,41.707195,-93.581902,"SUN-TH 10:30am-11pm

	FRI-SAT 10:30am-12am",,0
Ames,4,1310 S. Duff Ave. Ste. 103,,Ames,IA,50010,United States,(515) 233-4600,42.010849,-93.609695,"SUN-WED 10:30am-12am

	TH-SAT 10:30am-2am",,0
"Burlington, IA",58,1035 Lawrence Dr. Ste 100,,Burlington,IA,52601,United States,(319) 752-7660,40.797878,-91.140236,"SUN-TH 10:30am - 11pm
	FRI-SAT 10:30am - 12am",,0
"Fort Dodge, IA",69,3024 5th Ave S,,Fort Dodge,IA,50501,United States,(515) 576-0043,42.501675,-94.154114,"SUN-TH 10:30am - 11pm

	FRI-SAT 10:30am - 12am",,0
"Sioux City, IA",55,2400 Hamilton Blvd,,Sioux City,IA,,United States, (712) 226-8226,42.515316,-96.416733,"EVERYDAY

	10:30AM-10PM",,0
