store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Abbotsford,,2067 Sumas Way,,Abbotsford,BC,V2S8H6,Canada,(604) 504-1771,,,Mon - Fri9:30 AM - 9:30 PM;Saturday9:00 AM - 9:00 PM;Sunday10:00 AM - 6:00 PM,,0
Airdrie,,73 East Lake Ramp NE,,Airdrie,AB,T4A2K4,Canada,(403) 948-4475,,,Mon - Fri9:30 AM - 9:30 PM;Saturday9:00 AM - 9:00 PM;Sunday10:00 AM - 6:00 PM,,0
Amherst,,21068 Hwy 2,,Fort Lawrence,NS,B4H3Y5,Canada,(902) 660-3203,,,"Mon - Wed, Sat9:00 AM - 5:00 PM;Thu - Fri9:00 AM - 8:00 PM;SundayClosed",,0
Anjou,,7999 Boul. Les Galeries d'Anjou,,Anjou,QC,H1M1W9,Canada,(514) 352-9600,,,Mon - Fri9:00 AM - 9:00 PM;Saturday9:00 AM - 5:00 PM;Sunday10:00 AM - 5:00 PM,,0
Athabasca,,5206 50 Avenue,,Athabasca,AB,T9S1S8,Canada,(780) 675-3752,,,Mon - Fri10:00 AM - 6:00 PM;Saturday10:00 AM - 5:00 PM;Sunday12:00 PM - 4:00 PM,,0
Barrhead,,5026 50 Street,,Barrhead,AB,T7N1J5,Canada,(780) 674-8602,,,Mon - Fri10:00 AM - 6:00 PM;Saturday10:00 AM - 5:00 PM;SundayClosed,,0
Barrie,,52 Caplan Avenue,,Barrie,ON,L4N9J2,Canada,(705) 721-4106,,,Mon - Sat9:00 AM - 9:00 PM;Sunday10:00 AM - 6:00 PM,,0
Bathurst,,1165 St Anne St,,Bathurst,NB,E2A2Y7,Canada,(506) 548-2500,,,Mon - Thu9:00 AM - 6:00 PM;Friday9:00 AM - 9:00 PM;Saturday9:00 AM - 5:00 PM;SundayClosed,,0
Battleford,,2731 Highway 4 North,,North Battleford,SK,S9A3E6,Canada,(306) 446-3433,,,"Mon - Wed, Fri10:00 AM - 6:00 PM;Thursday10:00 AM - 7:00 PM;Saturday10:00 AM - 5:00 PM;SundayClosed",,0
Belleville,,200 Bell Blvd.,,Belleville,ON,K8P5L8,Canada,(613) 967-1006,,,Mon - Sat9:00 AM - 9:00 PM;Sunday10:00 AM - 6:00 PM,,0
Boisbriand,,3400 Ave. Des Grandes Tourelles,,Boisbriand,QC,J7H0A2,Canada,(450) 420-4224,,,Mon - Fri9:00 AM - 9:00 PM;Saturday9:00 AM - 5:00 PM;Sunday10:00 AM - 5:00 PM,,0
Bolton Mattress Store,,12748 Highway 50,,Bolton,ON,L7E4G1,Canada,(905) 857-2619,,,Mon - Fri10:00 AM - 9:00 PM;Saturday9:00 AM - 7:00 PM;Sunday11:00 AM - 5:00 PM,,0
Bonnyville,,5102 50 AvenueP.O. Box 6947,,Bonnyville,AB,T9N2H9,Canada,(780) 826-6304,,,Mon - Wed9:00 AM - 6:00 PM;Thu - Fri9:00 AM - 8:00 PM;Saturday10:00 AM - 6:00 PM;Sunday12:00 PM - 5:00 PM,,0
Bramalea Mattress Store,,Unit E-3 11795 Bramalea Road,,Brampton,On,L6R3S9,Canada,(289) 748-0092,,,Mon - Fri10:00 AM - 9:00 PM;Saturday9:00 AM - 7:00 PM;Sunday11:00 AM - 5:00 PM,,0
Brampton,,188 Clarence Street,,Brampton,ON,L6W1T4,Canada,(905) 454-3100,,,Mon - Fri9:30 AM - 9:30 PM;Saturday9:00 AM - 9:00 PM;Sunday10:00 AM - 6:00 PM,,0
