store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Alameda-Webster,,1901 Webster Ave.,,Alameda,CA,94501,United States,(510) 254-3857,,,Thursday 11am - 12pm,,0
Alameda,,1365 Park Street,,Alameda,CA,94501,United States,(510) 473-0136,,,Thursday 11am - 12pm,,0
Alamo,,"215 Alamo Plaza, Suite E",,Alamo,CA,94507,United States,(925) 791-6163,,,Saturday 10am - 11am,,0
Belmont,,1200 El Camino Real,,Belmont,CA,94002,United States,(650) 593-3053,,,Wednesday 2pm - 3pm,,0
Berkeley-4th Street,,1776 4th Street,,Berkeley,CA,94710,United States,(510) 525-3207,,,Saturday 1pm - 2pm,,0
Berkeley-College Ave,,3200 College Avenue,,Berkeley,CA,94705,United States,(510) 899-6740,,,Saturday 10am - 11am,,0
Berkeley-Domingo Ave,,2916 Domingo Avenue,,Berkeley,CA,94705,United States,(510) 843-1434,,,Saturday 12pm - 1pm,,0
Berkeley-Downtown,,2255 Shattuck Avenue,,Berkeley,CA,94704,United States,(510) 225-0451,,,Thursday 2pm - 3pm,,0
Berkeley-Solano Ave,,1825 Solano Avenue,,Berkeley,CA,94707,United States,(510) 526-9607,,,Saturday 11am - 12pm,,0
Berkeley-Telegraph,,2501 Telegraph Avenue,,Berkeley,CA,94704,United States,(510) 225-7700,,,Friday 12pm - 1pm,,0
Berkeley-Vine Street,,2124 Vine Street,,Berkeley,CA,94709,United States,(510) 841-0564,,,Thursday 1pm - 2pm,,0
Beverly Hills,,258 South Beverly Drive,,Beverly Hills,CA,90212,United States,(310) 248-3664,,,Friday 10am - 11am,,0
Brentwood-Lone Tree,,"5411 Lone Tree Way, Suite L-130",,Brentwood,CA,94513,United States,(925) 513-4102,,,Sunday 12pm - 1pm,,0
Burlingame,,1309 Burlingame Avenue,,Burlingame,CA,94010,United States,(650) 548-0494,,,Saturday 11am - 12pm,,0
Capitola,,"819 Bay Avenue, Suite A",,Capitola,CA,95010,United States,(831) 316-5040,,,Saturday 10am - 11am,,0
Carlsbad-Bressi Ranch,,"2641 Gateway Road, Suite 103",,Carlsbad,CA,92009,United States,(760) 448-1835,,,Saturday 11am - 12pm,,0
Castro Valley,,20439 Redwood Road,,Castro Valley,CA,94546,United States,(510) 537-0181,,,Wednesday 2pm - 3pm,,0
Chico,,145 Main Street,,Chico,CA,95928,United States,(530) 894-6716,,,Friday 3pm - 4pm,,0
Concord-Clayton Valley,,"5458 Ygnacio Valley Road, Suite 10",,Concord,CA,94521,United States,(925) 673-5225,,,Saturday 10am - 11am,,0
Concord-Downtown,,2072 Salvio Street,,Concord,CA,94520,United States,(925) 405-3650,,,Saturday 11:30am - 12:30am,,0
Concord-Treat & Oak Grove,,"785 Oak Grove Road, Suite I",,Concord,CA,94518,United States,(925) 849- 0030,,,Saturday 11am - 12pm,,0
Corte Madera,,77 Casa Buena Dr,,Corte Madera,CA,94925,United States,(415) 306-9340,,,Saturday 12pm - 1pm,,0
Costa Mesa,,424 East 17th Street,,Costa Mesa,CA,92627,United States,(949) 335-0670,,,Tuesday 2pm - 3pm,,0
Cotati,,7764 Old Redwood Hwy,,Cotati,CA,94931,United States,(707) 796-7080,,,Saturday 12pm - 1pm,,0
Cupertino,,"20807 Stevens Creek Boulevard, Suite 200",,Cupertino,CA,95014,United States,(408) 213-1870,,,Saturday 10am - 11am,,0
Cupertino-Homestead,,22350 Homestead Road,,Cupertino,CA,95014,United States,(408) 636-1850,,,Saturday 1pm - 2pm,,0
Danville,,435 Railroad Avenue,,Danville,CA,94526,United States,(925) 314-0990,,,Friday 10am - 11am,,0
Davis,,"1411 West Covell Boulevard, #114 B",,Davis,CA,95616,United States,(530) 750-5085,,,Friday 1pm - 2pm,,0
Davis-Downtown,,231 E Street,,Davis,CA,95616,United States,(530) 747-2064,,,Saturday 11am - 12pm,,0
Dublin,,"4620 Tassajara Road, Suite C",,Dublin,CA,94568,United States,(925) 404-0095,,,Tuesday 10am - 11am,,0
El Cerrito,,9895 San Pablo Avenue,,El Cerrito,CA,94530,United States,(510) 225-2080,,,Friday 1pm - 2pm,,0
El Dorado Hills,,"1004 White Rock Road, Suite 100",,El Dorado Hills,CA,95762,United States,(916) 934-0423,,,Thursday 10am - 11am,,0
El Segundo,,"820 S. Sepulveda,Suite A100",,El Segundo,CA,90245,United States,(424)367-3977,,,Thursday 10am - 11am,,0
Elk Grove,,"8234 Laguna Boulevard, Suite 100",,Elk Grove,CA,95758,United States,(916) 683-7191,,,Wednesday 12pm - 1pm,,0
Emeryville,,"5959 Shellmound Street, Suite 85",,Emeryville,CA,94608,United States,(510) 844-0850,,,Saturday 1pm - 2pm,,0
Fair Oaks,,8909 Madison Avenue Suite 400,,Fair Oaks,CA,95628,United States,(916) 844-3050,,,Saturday 11am - 12pm,,0
Fairfield,,"1380 Holiday Lane, Suite A",,Fairfield,CA,94534,United States,(707) 399-8606,,,Saturday 12pm - 1pm,,0
Folsom,,"1290 East Bidwell Street, Suite 110",,Folsom,CA,95630,United States,(916) 817-4527,,,Saturday 11am - 12pm,,0
