store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
HAMILTON,,859 UPPER JAMES ST.,,HAMILTON,ON,L9C 3A3,CANADA,,43.22662,-79.88184,,,0
OAKVILLE,,2451 LAKESHORE RD.W.,,OAKVILLE,ON,L6L 1H6,CANADA,,43.39429,-79.71203,,,0
HAMILTON,,1594 BARTON ST.E.,,HAMILTON,ON,L8H 2X9,CANADA,,43.24628,-79.79489,,,0
BRANTFORD,,1365C COLBORNE STREET E.,,BRANTFORD,ON,N3T 5M1,CANADA,,43.1503,-80.18182,,,0
HAMILTON,,386 UPPER GAGE AVE.,,HAMILTON,ON,L8V 4H9,CANADA,,43.23459,-79.83622,,,0
HAMILTON,,1822 UPPER JAMES ST.,,HAMILTON,ON,L9B 1K9,Canada,,43.19587,-79.8965,,,0
HAMILTON,,603 KING ST.E.,,HAMILTON,ON,L8N 1E4,CANADA,,43.2524,-79.85052,,,0
HAMILTON,,1800 BURLINGTON ST.E.,,HAMILTON,ON,L8H 3L4,CANADA,,43.25669,-79.78827,,,0
HAMILTON,,711 QUEENSTON RD.,,HAMILTON,ON,L8G 1A1,CANADA,,43.2293,-79.77026,,,0
COBOURG,,500 DIVISION ST.,,COBOURG,ON,K9A 3S4,CANADA,,43.96651,-78.16846,,,0
ST. CATHARINES,,383 ONTARIO ST.,,ST. CATHARINES,ON,L2R 5L3,CANADA,,43.1763,-79.26638,,,0
DUNDAS,,39 COOTES DR.,,DUNDAS,ON,L9H 1B4,CANADA,,43.26563,-79.94669,,,0
BRANTFORD,,206 HENRY ST.,,BRANTFORD,ON,N3S 6V1,CANADA,,43.155,-80.23998,,,0
BRANTFORD,,151 KING GEORGE RD.,,BRANTFORD,ON,N3R 5K7,CANADA,,43.1725,-80.27762,,,0
HAMILTON,,545 WOODWARD AVE.,,HAMILTON,ON,L8H 6P2,CANADA,,43.24778,-79.77694,,,0
MISSISSAUGA,,150 LAKESHORE  RD.E.,,MISSISSAUGA,ON,L5G 1E9,Canada,,43.55589,-79.58112,,,0
FORT ERIE,,191 GARRISON RD.,,FORT ERIE,ON,L2A 1E9,CANADA,,42.89268,-78.92838,,,0
BURLINGTON,,850 APPLEBY LINE,,BURLINGTON,ON,L7L 2Y7,CANADA,,43.37745,-79.76752,,,0
TORONTO,,2317 ST. CLAIR AVE.W.,,TORONTO,ON,M6N 1K9,CANADA,,43.66998,-79.47872,,,0
NIAGARA FALLS,,7209 DRUMMOND RD.,,NIAGARA FALLS,ON,L2G 4P7,CANADA,,43.07157,-79.09705,,,0
HAMILTON,,927 RYMAL RD. E.,,HAMILTON,ON,L8W 3M2,CANADA,,43.19228,-79.85177,,,0
KESWICK,,248 THE QUEENSWAY S.,,KESWICK,ON,L4P 2B1,CANADA,,44.22721,-79.46447,,,0
FRUITLAND,,823 HWY #8 Under renovation till November 2013,,FRUITLAND,ON,L0R 1L0,Canada,,43.21031,-79.70942,,,0
STONEY CREEK,,354 HWY #8,,STONEY CREEK,ON,L8G 1E8,CANADA,,43.21881,-79.72649,,,0
STONEY CREEK,,333-339 HWY #20,,STONEY CREEK,ON,L8G 3X4,CANADA,,43.2211,-79.75681,,,0
CALEDONIA,,83 ARGYLE ST.,,CALEDONIA,ON,N3W 1B8,CANADA,,43.06991,-79.95415,,,0
HARRISTON,,5572 HWY #9,,HARRISTON,ON,N0G 1Z0,CANADA,,43.9091,-80.84332,,,0
DUNNVILLE,,1054 BROAD ST.,,DUNNVILLE,ON,N1A 2Z2,CANADA,,42.90295,-79.60204,,,0
LONDON,,1769 DUNDAS ST.,,LONDON,ON,N5W 3E6,CANADA,,43.00298,-81.18217,,,0
ETOBICOKE,,198 BROWN'S LINE,,ETOBICOKE,ON,M8W 3T3,CANADA,,43.5973,-79.5433,,,0
WINDSOR,,4560 HOWARD AVE.,,WINDSOR,ON,N9G 1P6,CANADA,,42.24264,-82.99654,,,0
CHATHAM,,562 RICHMOND ST.,,CHATHAM,ON,N7M 1R3,CANADA,,42.38955,-82.19719,,,0
PARIS,,93-99 KING EDWARD STREET,,PARIS,ON,N3L 0A1,CANADA,,43.1822,-80.38883,,,0
SARNIA,,1100 MURPHY RD.,,SARNIA,ON,N7S 2Y2,CANADA,,42.99541,-82.36579,,,0
WINDSOR,,3472 WALKER RD.,,WINDSOR,ON,N8W 3S3,Canada,,42.27453,-82.97655,,,0
BURLINGTON,,2430 FAIRVIEW ST.,,BURLINGTON,ON,L7R 2E4,CANADA,,43.34636,-79.79824,,,0
HORNBY,,R.R.#1 (TRAFALGAR RD.),,HORNBY,ON,L0P 1E0,CANADA,,43.53896,-79.76225,,,0
DELHI,,12 CHURCH ST.,,DELHI,ON,N4B 1V7,CANADA,,42.93147,-80.29039,,,0
ANCASTER,,1180 WILSON ST. W.,,ANCASTER,ON,L9C 1G4,CANADA,,43.24234,-79.8953,,,0
BARRIE,,453 DUNLOP ST.,,BARRIE,ON,L4N 1C2,CANADA,,44.3782,-79.7165,,,0
MISSISSAUGA,,1095 LAKESHORE RD.W.,,MISSISSAUGA,ON,L5H 1J3,CANADA,,43.5316,-79.60788,,,0
MISSISSAUGA,,3100 WINSTON CHURCHILL BLVD.,,MISSISSAUGA,ON,L5L 2V7,CANADA,,43.52468,-79.68486,,,0
HAMILTON,,160 JOHN ST.,,HAMILTON,ON,L8N 2C4,CANADA,,43.25188,-79.8684,,,0
BEAMSVILLE,,"5001 GREENLANE RD. is temporarily closed for renovations until May 16, 2011.",,BEAMSVILLE,ON,L0R 1B0,Canada,,43.16583,-79.47639,,,0
HAMILTON,,610 KING ST. WEST,,HAMILTON,ON,L8P 1C2,CANADA,,43.26185,-79.8868,,,0
BRONTE,,754 BRONTE RD.,,BRONTE,ON,L6J 4Z3,Canada,,43.47948,-79.65582,,,0
INNISFIL,,"7364 YONGE ST., UNIT 3",,INNISFIL,ON,L9S 2M6,CANADA,,44.30007,-79.61349,,,0
BEAMSVILLE,,5005 SOUTH SERVICE RD.,,BEAMSVILLE,ON,L0R 1B4,CANADA,,43.18359,-79.47109,,,0
LONDON,,312 COMMISSIONERS RD. W.,,LONDON,ON,N6J 1Y3,CANADA,,42.95538,-81.27644,,,0
ALLISTON,,527 VICTORIA ST. E.,,ALLISTON,ON,L9R 1K1,canada,,44.15638,-79.8582,,,0
FLAMBOROUGH,,"1489 HWY #6, R.R. #2",,FLAMBOROUGH,ON,L8N 2Z7,CANADA,,49.10619,14.9105,,,0
HAMILTON,,315 CENTENNIAL PARKWAY,,HAMILTON,ON,L8E 2X3,CANADA,,43.23968,-79.75938,,,0
TORONTO,,840 DUPONT ST.,,TORONTO,ON,M6C 1Z8,CANADA,,43.69714,-79.43478,,,0
GUELPH,,256 BROCK RD. S. R. R. #3,,GUELPH,ON,N1H 6H9,CANADA,,43.45983,-80.13403,,,0
OTTAWA,,590 MONTREAL RD.,,OTTAWA,ON,K1K 0T9,CANADA,,45.44216,-75.64355,,,0
GLOUCESTER,,2931 BANK ST.,,GLOUCESTER,ON,K1T 1N7,CANADA,,45.34768,-75.62522,,,0
GLOUCESTER,,1134 OGILVIE RD.,,GLOUCESTER,ON,K1J 8V1,CANADA,,45.42609,-75.63161,,,0
