store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
14845 YONGE ST. AURORA,,"YONGE AND DUNNING, HUNTER'S GATE PLAZA",,Aurora,Ontario,L4G 1N2,Canada,,43.989804,-79.464701,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
129 PEDERSEN DR,,SW CORNER OF PEDERSEN AND BAYVIEW,,Aurora,Ontario,L4G 0E3,Canada,,44.018415,-79.447668,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
5317 HIGHWAY #7 WEST,,S SIDE OF HWY 7 JUST W OF KIPLING,,Vaughan,Ontario,L4H0A8,Canada,,43.777923,-79.599517,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
5100 RUTHERFORD RD,,NW CORNER OF ISLINGTON AND RUTHERFORD,,Vaughan,Ontario,L4H2J2,Canada,,43.816532,-79.602408,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
9750 WESTON RD. UNIT 14,,SOUTH OF MAJOR MACKENZIE RD,,Vaughan,Ontario,L4H 2Z7,Canada,,43.838354,-79.559225,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
3603 LANGSTAFF RD. UNIT 1,,"LANGSTAFF AND JEVLAN,BTWN WESTON AND 400",,Vaughan,Ontario,L4L 8A3,Canada,,43.808323,-79.548555,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
5317 HIGHWAY #7 WEST,,HIGHWAY 7 AND KIPLING,,Vaughan,Ontario,L4H0A8,Canada,,43.777923,-79.599517,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
5100 RUTHERFORD RD,,RUTHERFORD AND ISLINGTON,,Vaughan,Ontario,L4H2J2,Canada,,43.816532,-79.602408,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
207 DUNDAS STREET WEST,,1 BLOCK WEST OF BROCK ON HWY 2,,Whitby,Ontario,L1N8Y9,Canada,,43.879275,-78.944184,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
3975 GARDEN ST,,SE CORNER OF GARDEN AND TAUNTON,,Whitby,Ontario,L1R0H5,Canada,,43.917378,-78.947314,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
1054 CENTRE STREET WEST,,BETWEEN BATHURST AND DUFFERIN,,Vaughan,Ontario,L4J8A4,Canada,,43.808968,-79.459944,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
150 UNIVERSITY AVE. W.,,NE CORNER OF UNIVERSITY AND PHILLIP,,Waterloo,Ontario,N2L 6J3,Canada,,43.472281,-80.536172,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
1054 CENTRE STREET WEST,,CENTRE BTWN BATHURST+DUFFERIN,,Vaughan,Ontario,L4J8A4,Canada,,43.808968,-79.459944,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
2535 MAJOR MACKENZIE DR,,MJR MAC BTWN JANE AND KEELE,,Vaughan,Ontario,L6A 1Y3,Canada,,43.853080,-79.520582,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
1954 DANFORTH AVE,,"WEST OF WOODBINE AT WOODMOUNT,NORTH SIDE",,Toronto,Ontario,M4C 3X4,Canada,,43.685169,-79.315347,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
9200 BATHURST ST,,SW CORNER OF BATHURST AND RUTHERFORD,,Vaughan,Ontario,L6A 4N9,Canada,,43.847613,-79.458798,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
3120 RUTHERFORD RD,,RUTHERFORD AND JANE,,Vaughan,Ontario,L4K 0B1,Canada,,43.830369,-79.534965,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
758 MOUNT PLEASANT RD,,"JUST S OF EGLINTON, ACROSS FROM SHOPPERS",,Toronto,Ontario,M2S 2N4,Canada,,43.707647,-79.389868,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
8 GREEN LANE,,NORTH OF JOHN OFF BAYVIEW NEAR RBC,,Markham,Ontario,L3T6L2,Canada,,43.821254,-79.401614,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
9960 DUFFERIN STREET,,DUFFERIN AND MAJOR MACKENZIE,,Vaughan,Ontario,L4K,Canada,,43.858209,-79.486766,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
6015 STEELES AVE EAST,,"STEELES AND MARKHAM(LOWES PLAZA), S SIDE",,Markham,Ontario,,Canada,,43.835489,-79.255870,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
5892 MAIN ST. STOUFFVILLE,,SW CORNER OF 9TH LINE AND MAIN,,Whitchurch-Stouffville,Ontario,,Canada,,43.969515,-79.259673,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
365 FRONT ST. W.,,"FRONT AND BLUE JAYS WAY, EAST OF SPADINA",,Toronto,Ontario,M5V 3S8,Canada,,43.643202,-79.391945,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
2272 LAWRENCE AVE E,,WEST OF KENNEDY RD BESIDE HARRY'S,,Toronto,Ontario,M1P 1V6,Canada,,43.749077,-79.277541,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
193 HARBORD ST,,"1 BLOCK EAST OF BATHURST, SOUTH SIDE",,Toronto,Ontario,M5S 2P4,Canada,,43.661740,-79.408632,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
1360 KINGSTON RD,,"NE CORNER KINGSTON + LIVERPOOL,HUB PLAZA",,Pickering,Ontario,L1V 1B8,Canada,,43.838416,-79.086937,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
20 LEVENDALE RD,,"LEVENDALE AND YONGE, S OF ELGIN MILLS",,Richmond Hill,Ontario,L4C6Z1,Canada,,43.882220,-79.441142,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
4516 KINGSTON RD,,NE CORNER OF KINGSTON RD AND MORNINGSIDE,,Toronto,Ontario,M1E 3G1,Canada,,43.771557,-79.186436,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
1928 QUEEN ST E,,"EAST OF WOODBINE AT ELMER, SOUTH SIDE",,Toronto,Ontario,M4L1J2,Canada,,43.669347,-79.303707,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
300 KINGSTON RD,,NE CORNER OF KINGSTON RD AND ALTONA,,Pickering,Ontario,L1W3Z6,Canada,,43.808981,-79.130940,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
12260 YONGE ST,,NW CORNER YONGE AND STOUFFVILLE,,Richmond Hill,Ontario,L4E 0W5,Canada,,43.926082,-79.450526,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
2922 SHEPPARD AVE E.,,NE CORNER OF SHEPPARD AND VICTORIA PARK,,Toronto,Ontario,M1T 1A4,Canada,,43.774988,-79.323207,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
997 BAY STREET,,SW CORNER OF BAY AND ST. JOSEPH,,Toronto,Ontario,M5S 2S3,Canada,,43.665424,-79.387437,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
908 LANSDOWNE ST. W.,,EAST OF PARKWAY BESIDE BASKIN ROBBINS,,Peterborough,Ontario,K9J4H7,Canada,,44.282971,-78.341393,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
9275 BAYVIEW AVE UNIT 2,,SE CORNER OF BAYVIEW AND 16TH,,Richmond Hill,Ontario,L4B,Canada,,43.857002,-79.410560,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
2201 ELLESMERE RD,,JUST EAST OF MARKHAM RD ON ELLESMERE,,Toronto,Ontario,M1G 3M3,Canada,,43.776660,-79.230148,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
520 WILSON HEIGHTS BLVD,,WILSON HEIGHTS AND SHEPPARD,,Toronto,Ontario,M3H 2T5,Canada,,43.750738,-79.455965,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
175 MAIN STREET,,"IN ANGEL GATE PLAZA, BESIDE BINGO HALL",,Penetanguishene,Ontario,,Canada,,44.765977,-79.931310,Monday to Thursday 11:00 to 11pm; Friday and Saturday 11:00 to 2am; Sunday 11:00 to 11pm; ,,0
4200 SHEPPARD AVE E,,NW CORNER OF SHEPPARD AND MIDLAND,,Toronto,Ontario,M1S 1T3,Canada,,43.785402,-79.278841,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
"901 KING ST W, UNIT 100A",,SE CORNER OF KING ST W AND STRACHAN,,Toronto,Ontario,M6K 1E4,Canada,,43.642102,-79.411421,Monday to Thursday 11:00 to 1am; Friday and Saturday 11:00 to 2am; Sunday 11:00 to Midnight; ,,0
