store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Pizza Ranch Casper,,5011 E 2nd St ,,Casper,WY, 82609,United States,(307) 237-1234,42.8471180960107,-106.25816434621811,Monday 11:00 AM - 10:00 PM; Tuesday 11:00 AM - 10:00 PM; Wednesday 11:00 AM - 10:00 PM; Thursday 11:00 AM - 10:00 PM; Friday 11:00 AM - 10:00 PM; Saturday 11:00 AM - 10:00 PM; Sunday 11:00 AM - 10:00 PM,,0
Pizza Ranch Lennox,,112 E 1st Ave. ,,Lennox,SD, 57039,United States,(605) 647-2828,43.3554,-96.8908,Monday 11:00 AM - 9:00 PM; Tuesday 11:00 AM - 9:00 PM; Wednesday 11:00 AM - 9:00 PM; Thursday 11:00 AM - 9:00 PM; Friday 11:00 AM - 9:00 PM; Saturday 11:00 AM - 9:00 PM; Sunday 11:00 AM - 9:00 PM,,0
Pizza Ranch Hartford,,120 W Hwy 38 ,,Hartford,SD, 57033,United States,(605) 528-3663,43.631908974876644,-96.94686738777818,Monday 10:30 AM - 9:30 PM; Tuesday 10:30 AM - 9:30 PM; Wednesday 10:30 AM - 9:30 PM; Thursday 10:30 AM - 9:30 PM; Friday 10:30 AM - 10:30 PM; Saturday 10:30 AM - 10:30 PM; Sunday 10:30 AM - 9:30 PM,,0
Pizza Ranch Fort Pierre,,321 E Hustan ,,Fort Pierre,SD, 57532,United States,(605) 223-9114,44.36920670884732,-100.37321001291275,Monday 11:00 AM - 9:00 PM; Tuesday 11:00 AM - 9:00 PM; Wednesday 11:00 AM - 9:00 PM; Thursday 11:00 AM - 9:00 PM; Friday 11:00 AM - 9:00 PM; Saturday 11:00 AM - 9:00 PM; Sunday 11:00 AM - 9:00 PM,,0
Pizza Ranch Dell Rapids,,500 W 4th Street ,,Dell Rapids,SD, 57022,United States,(605) 428-5967,43.82419390662226,-96.72473220158281,Monday 11:00 AM - 9:00 PM; Tuesday 11:00 AM - 9:00 PM; Wednesday 11:00 AM - 9:00 PM; Thursday 11:00 AM - 9:00 PM; Friday 11:00 AM - 10:00 PM; Saturday 11:00 AM - 10:00 PM; Sunday 11:00 AM - 9:00 PM,,0
Pizza Ranch Yankton,,1501 Broadway Avenue ,,Yankton,SD, 57078,United States,(605) 665-1222,42.88381607501697,-97.39719971084924,Monday 11:00 AM - 10:00 PM; Tuesday 11:00 AM - 10:00 PM; Wednesday 11:00 AM - 10:00 PM; Thursday 11:00 AM - 10:00 PM; Friday 11:00 AM - 10:00 PM; Saturday 11:00 AM - 10:00 PM; Sunday 11:00 AM - 10:00 PM,,0
Pizza Ranch Wahpeton,,1110 3rd Avenue North ,,Wahpeton,ND, 58075,United States,(701) 672-7492,46.26639653657466,-96.61672800779343,Monday 11:00 AM - 9:00 PM; Tuesday 11:00 AM - 9:00 PM; Wednesday 11:00 AM - 9:00 PM; Thursday 11:00 AM - 9:00 PM; Friday 11:00 AM - 9:00 PM; Saturday 11:00 AM - 9:00 PM; Sunday 11:00 AM - 9:00 PM,,0
Pizza Ranch West Point,,245 S Main St ,,West Point,NE, 68788,United States,(402) 372-5099,41.83853444843559,-96.7124480009079,Monday 11:00 AM - 9:00 PM; Tuesday 11:00 AM - 10:00 PM; Wednesday 11:00 AM - 10:00 PM; Thursday 11:00 AM - 10:00 PM; Friday 11:00 AM - 10:00 PM; Saturday 11:00 AM - 10:00 PM; Sunday 11:00 AM - 9:00 PM,,0
Pizza Ranch Butte,,3541 Harrison Ave. ,,Butte,MT, 59701,United States,(406) 494-2822,45.97366776373795,-112.5084970286116,Monday 11:00 AM - 10:00 PM; Tuesday 11:00 AM - 10:00 PM; Wednesday 11:00 AM - 10:00 PM; Thursday 11:00 AM - 10:00 PM; Friday 11:00 AM - 10:00 PM; Saturday 11:00 AM - 10:00 PM; Sunday 11:00 AM - 10:00 PM,,0
Pizza Ranch St. Joseph,,3007 N. Belt Highway ,Suite A ,St. Joseph,MO, 64506,United States,(816) 259-5260,39.79619,-94.812175,Monday 11:00 AM - 9:00 PM; Tuesday 11:00 AM - 9:00 PM; Wednesday 11:00 AM - 9:00 PM; Thursday 11:00 AM - 9:00 PM; Friday 11:00 AM - 10:00 PM; Saturday 11:00 AM - 10:00 PM; Sunday 11:00 AM - 9:00 PM,,0
