store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Port of Subs #123,123,7950 White Lane,The Albertsons Center,Bakersfield,CA,93309,United States,661-397-1010,35.318582020721955,-119.07405564800717,,,0
Port of Subs #031,031,1012 West Henderson Avenue,Inside Sierra Minit Mart,Porterville,CA,93257,United States,559-781-4705,36.06523,-119.01676789999999,,,0
Port of Subs #128,128,730 South Plano Street,Sierra Minit Mart,Porterville,CA,93257,United States,559-781-6649,36.06523,-119.01676789999999,,,0
Port of Subs #187,187,1595 East Bardsley Avenue,Sierra Minit Mart,Tulare,CA,93274,United States,559-685-1650,36.2077288,-119.34733790000001,,,0
Port of Subs #108,108,1105 East Prosperity Avenue,Inside the Chevron Station,Tulare,CA,93274,United States,559-688-1524,36.2255469792576,-119.33048289855043,,,0
Port of Subs #049,049,1541 East Noble Avenue,Mary's Vineyard Shopping Center,Visalia,CA,93292,United States,559-636-2461,36.32433991561741,-119.27672162885284,,,0
Port of Subs #065,065,1229 S. Mooney Boulevard,At Mooney and Tulare,Visalia,CA,93277,United States,559-732-7827,36.319242,-119.31440379999998,,,0
Port of Subs #042,042,729 W. Lacey Blvd.,The Gables,Hanford,CA,93230,United States,559-582-7651,36.32780890975249,-119.65610746423187,,,0
Port of Subs #142,142,870 W. El Monte Way,Near Walmart,Dinuba,CA,93618,United States,559-591-3054,36.5432634,-119.40181640000003,,,0
Port of Subs #085,085,913 Sierra Street,The Albertsons Center,Kingsburg,CA,93631,United States,559-897-5540,36.51798299576163,-119.55835194976805,,,0
Port of Subs #154,154,1079 West Manning Avenue,Riverwalk Shopping Center,Reedley,CA,93654,United States,559-643-0381,36.5963395,-119.45040289999997,,,0
Port of Subs #101,101,2835 Highland Avenue,"Food 4 Less Center, Selma Square",Selma,CA,93662,United States,559-891-8077,36.5681879,-119.60926139999998,,,0
Port of Subs #032,032,2747 East Manning Avenue,,Fowler,CA,93625,United States,559-834-9874,36.6057813,-119.6581645,,,0
Port of Subs #222,222,2252 Broad Street Suite #130,Corner of Broad & South,San Luis Obispo,CA,93401,United States,(805) 439-4888,35.2827524,-120.6596156,,,0
Port of Subs #118,118,5993 East Belmont Avenue,Inside Johnny Quik,Fresno,CA,93727,United States,559-255-3597,36.751044630807485,-119.68246877388304,,,0
Port of Subs #143,143,1810 East Shaw Avenue,Next to Washington Mutual Bank,Clovis,CA,93611,United States,559-299-1609,36.808173632975496,-119.68101469174883,,,0
Port of Subs #073,073,635 W. Shaw Avenue,Next to Pep Boys,Clovis,CA,93612,United States,559-325-9500,36.8109736,-119.7136456,,,0
Port of Subs #117,117,4385 W. Clinton Avenue,,Fresno,CA,93722,United States,559-275-4480,36.7713056,-119.8706353,,,0
Port of Subs #028,028,5780 N. First Street,At Bullard,Fresno,CA,93710,United States,559-438-7827,36.8226304,-119.77025860000003,,,0
Port of Subs #119,119,4395 West Ashlan Avenue,Inside Johnny Quik,Fresno,CA,93722,United States,559-276-2067,36.793149061144035,-119.8706832258896,,,0
Port of Subs #036,036,3763 W. Shaw Avenue,Shaw & Brawley,Fresno,CA,93711,United States,559-271-8900,36.807909225956685,-119.86185473491707,,,0
Port of Subs #027,027,8879 North Chestnut Avenue,Corner of Chestnut & Shepherd,Fresno,CA,93720,United States,559-298-3388,36.86478725531854,-119.73976675875548,,,0
Port of Subs #208,208,655 East Main Street,Chevron Extra Mile,Merced,CA,95340,United States,209-722-9019,37.295546799463935,-120.46644074656831,,,0
Port of Subs #157,157,731 East Yosemite Avenue,Corner of Yosemite Avenue and Paulson Road,Merced,CA,95340,United States,209-723-2436,37.3325192363614,-120.46128874498288,,,0
Port of Subs #047,047,510 Oceanside Boulevard,At Coast Highway,Oceanside,CA,92054,United States,760-439-3354,33.18394360000001,-117.36918309999999,,,0
Port of Subs #094,094,150 State Highway 160 #6,Near Sav-On,Pahrump,NV,89048,United States,775-751-6000,36.217751312579445,-115.99520679995271,,,0
Port of Subs #107,107,10120 West Flamingo,"Flamingo and Hualapai, Near Albertsons",Las Vegas,NV,89147,United States,702-476-6652,36.115369130996974,-115.31325466759642,,,0
Port of Subs #223 ,223,6005 S Ft. Apache Rd,Suite 120,Las Vegas,NV,89148,United States,,36.0794089,-115.2980311,,,0
Port of Subs #054,054,10260 West Charleston Boulevard,Charleston & Town Center,Las Vegas,NV,89135,United States,702-838-0727,36.15947212499724,-115.31957863021239,,,0
Port of Subs #111,111,1910 Village Center Circle,"Village Center and Trails Center, Near Vons",Las Vegas,NV,89134,United States,702-869-4216,36.193128777185876,-115.3041023101814,,,0
Port of Subs #079,079,8615 W. Flamingo Road,"Corner of Flamingo and Durango, Inside the Union 76 Station",Las Vegas,NV,89147,United States,702-256-7827,36.114469546938544,-115.27963146224897,,,0
Port of Subs #066,066,8552 W. Lake Mead Boulevard,"Rampart and Lake Mead, Near Big Lots",Las Vegas,NV,89128,United States,702-255-0935,36.20025892706611,-115.27958454633256,,,0
Port of Subs #070,070,6365 S. Rainbow Boulevard,Northwest Corner of Rainbow and Sunset,Las Vegas,NV,89119,United States,702-367-3347,36.07234221917853,-115.24286400808103,,,0
Port of Subs #181,181,6080 Badura Avenue,"Jones and Badura, Next to Starbucks",Las Vegas,NV,89118,United States,702-646-7678,36.062848905673974,-115.22431130310667,,,0
Port of Subs #150,150,7120 North Durango Drive,"Durango and Elkhorn, Near Smiths",Las Vegas,NV,89149,United States,702-220-7678,36.2899755777924,-115.28582173709566,,,0
Port of Subs #045,045,949 South Rainbow Boulevard,At Rainbow & Charleston,Las Vegas,NV,89145,United States,702-870-9982,36.1606729,-115.24391709999998,,,0
Port of Subs #122,122,7920 West Tropical Parkway,"Centennial and Tropical, In front of Walmart",Las Vegas,NV,89149,United States,702-839-0299,36.271380163011465,-115.26759109148372,,,0
Port of Subs #196,196,5801 South Decatur Boulevard,Decatur & Russell,Las Vegas,NV,89118,United States,702-363-7678,36.084655978011334,-115.20846247673035,,,0
Port of Subs #171,171,705 Highway 362,,Hawthorne,NV,89415,United States,775-945-2825,38.5334979,-118.61896509999997,,,0
Port of Subs #048,048,3281 South Highland,Highland and Desert Inn,Las Vegas,NV,89109,United States,702-731-6333,36.13010088391602,-115.17845816574555,,,0
Port of Subs #169,169,190 East Flamingo Road,"Flamingo and Koval, Inside Jays Market Gas Station",Las Vegas,NV,89109,United States,702-912-0535,36.11494610086092,-115.16454229465944,,,0
Port of Subs #039,039,5757 Wayne Newton Boulevard,At the B-Gates in McCarran Airport,Las Vegas,NV,89111,United States,702-261-7456,36.0839998,-115.15373890000001,,,0
Port of Subs #114,114,5757 Wayne Newton Boulevard,At the D Gates in McCarran Airport,Las Vegas,NV,89111,United States,702-261-7456,36.0839998,-115.15373890000001,,,0
Port of Subs #195,195,5757 Wayne Newton Boulevard,At the D Gates in McCarran Airport,Las Vegas,NV,89111,United States,702-261-5858,36.0839998,-115.15373890000001,,,0
Port of Subs #053,053,840 South Rancho,Rancho & Charleston,Las Vegas,NV,89106,United States,702-877-2118,36.161756594050935,-115.17347141452484,,,0
Port of Subs #044,044,6572 N. Decatur Blvd.,In the WalMart Center at the 215 Beltway,North Las Vegas,NV,89131,United States,702-395-0424,36.27967328825961,-115.20632093330994,,,0
Port of Subs #205,205,330 Centennial Parkway,,North Las Vegas,NV,89031,United States,702-633-5828,36.2708775,-115.20111120000001,,,0
Port of Subs #104,104,5715 South Eastern Avenue,"Eastern and Russell, In front of Lowes",Las Vegas,NV,89119,United States,702-739-3013,36.02127164575442,-115.11910908486863,,,0
Port of Subs #100,100,9255 South Eastern Avenue,"Serene and Eastern, Near The Home Depot",Las Vegas,NV,89123,United States,702-260-9115,36.021267834775195,-115.11910151971585,,,0
Port of Subs #092,092,2642 West Horizon Ridge Parkway,Northeast Corner Horizon and Eastern,Henderson,NV,89052,United States,702-914-8288,36.00188024258918,-115.10304214524615,,,0
Port of Subs #084,084,1306 West Craig Road,"Craig and MLK, Near Albertsons",North Las Vegas,NV,89032,United States,702-642-7330,36.24084312895099,-115.15931310515748,,,0
Port of Subs #059,059,2601 Windmill Parkway,At Pecos Road,Henderson,NV,89014,United States,702-896-0896,36.04214999637289,-115.10150733661192,,,0
Port of Subs #015,015,1730 E. Charleston Blvd.,Charleston & Bruce,Las Vegas,NV,89104,United States,702-366-9664,36.15868235239571,-115.12589056002957,,,0
Port of Subs #083,083,2833 East Desert Inn Road,"Desert Inn and Pecos, Near Albertsons",Las Vegas,NV,89121,United States,702-894-9588,36.12814830000001,-115.11103100000003,,,0
Port of Subs #052,052,3720 E. Sunset Rd.,Sunset & Sandhill,Las Vegas,NV,89120,United States,702-433-6784,36.07160296341469,-115.09413881318358,,,0
