store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
287 Diesel Service,290,1101 E. 11th Street,,Quanah,Texas,79252,United States,940-663-2424,,,,,0
218 Fuel Express,234,68 S. Monroe St.,,Floyd,Iowa,50435,United States,641-398-2390,43.122949,-92.738863,,,0
1st Choice Truck Service Inc.,207,1580 Kleppe Lane,,Reno,Nevada,89431,United States,775-356-8118,39.525824,-119.713851,,,0
115 Truck Stop,1,14547  22 1/2 Mile Road,,Marshall,Michigan,49068,United States,269-781-9616,42.284494,-84.862682,,,0
I-10 Truck Stop,245,195 East Valley Blvd.,,Rialto,California,92376,United States,909-877-1171,34.070168,-117.368146,,,0
I - 40 Tire Inc.,213,1770 Southside Drive,,Cookeville,Tennessee,38506,United States,931-260-7513,36.131276,-85.477888,,,0
Gulf Coast Drive Train,175,10200 Hwy 31,,Spanish Fort,Alabama,36527,United States,251-625-6862,30.676008,-87.843536,,,0
Griffis All-American Truck Stop,36,25357  Highway 330,,Tillatoba,Mississippi,38961,United States,662-623-7217,33.985039,-89.875691,,,0
Greater Chicago I-55 Auto Truck Stop,35,510 S. Bolingbrook Drive,,Bolingbrook,Illinois,60440,United States,630-739-7006,41.682474,-88.066837,,,0
Gateway Travel Plaza - Palestine,33,"2350 West Oak,  Suite 200",,Palestine,Texas,75801,United States,903-723-1680,31.744709,-95.655214,,,0
Gateway Travel Plaza - Nacogdoches,284,,,Nacogdoches,Texas,75964,United States,,,,,,0
Gateway Travel Plaza - Kilgore,34,4403 State Hwy 42 North,,Kilgore,Texas,75662,United States,903-986-8450,32.428842,-94.864307,,,0
Gateway Travel Plaza - Henderson,244,100 US Hwy 79,,Henderson,Texas,75652,United States,903-557-0053,32.133147,-94.803806,,,0
Gateway Travel Plaza - Carthage,32,1086 US Hwy 59 South,,Carthage,Texas,75633,United States,903-690-0272,32.148844,-94.322807,,,0
Gas-N-Go #13,31,1810 West Main Street,,Green River,Utah,84525,United States,435-564-8262,38.99075,-110.143363,,,0
Fuel King Travel Center,287,1270 Independence Drive,,Napoleon,Ohio,43545,United States,419-599-0065,,,,,0
Weimar Travel Center,288,901 South Eagle,,Weimar,Texas,78962,United States,979-725-5014,,,,,0
Wallace Diesel Repair,177,13414 Highway 113,,Brewton,Alabama,36426,United States,251-296-7230,31.118830,-87.278200,,,0
Virk I-5 Truck Stop,258,33380 Hwy 34 SE,,Albany,Oregon,97322,United States,541-926-0990,44.555419,-123.057598,,,0
Virginian Repair Center,230,1011 Mt. Olive Road,,Toms Brook,Virginia,22660,United States,800-652-6852,38.966329,-78.438838,,,0
Valley Mart,257,101 Caspian Ave.,,Volga,South,57071,United States,605-627-9422,44.268285,-96.909594,,,0
U Save Truck Stop,263,3405 W. Historical Highway 66,,Gallup,NM,87301,United States,505-863-8008,,,,,0
Truck World Truck Stop - North Jackson,286,12700 Leonard Parkway,,North Jackson,Ohio,44451,United States,,,,,,0
