store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Fredericksburg,,271 Warrenton Rd.,,Fredericksburg,VA,22405,United States,,38.33297729,-77.483497619629,,,0
Fredericksburg,,11913 Tidewater Trail,,Fredericksburg,VA,22408,United States,,38.28335953,-77.453727722168,,,0
Waldorf,,12090 Acton Ln.,,Waldorf,MD,20601,United States,,38.63476639,-76.893806457520,,,0
Front Royal,,195 Commerce Ave.,,Front Royal,VA,22630,United States,,38.92182549,-78.190567016602,,,0
Broadway,,295 N. Timber Way,,Broadway,VA,22815,United States,,38.61463119,-78.785980224609,,,0
Harrisonburg,,3410 South Main St.,,Harrisonburg,VA,22802,United States,,38.40269765,-78.910469055176,,,0
Waynesboro,,790 South Delphine Ave.,,Waynesboro,VA,22980,United States,,38.05516499,-78.886718750000,,,0
Roanoke,,1568 Granby St. NE,,Roanoke,VA,24012,United States,,37.29829572,-79.901939392090,,,0
Salem,,2319 West Main St.,,Salem,VA,24153,United States,,37.28813934,-80.067764282227,,,0
Lynchburg,,3121 Odd Fellows Road,,Lynchburg,VA,24501,United States,,37.37869338,-79.153678894043,,,0
Roanoke,,2213 Shenandoah Ave. NW,,Roanoke,VA,24019,United States,,37.28265406,-79.974456787109,,,0
Newington,,8219 Terminal Rd,,Newington,VA,22079,United States,,38.73053631,-77.192329406738,,,0
Fairfax,,8902 Lee Hwy,,Fairfax,VA,22031,United States,,38.87337136,-77.251968383789,,,0
Beltsville,,11450 Baltimore Ave,,Beltsville,MD,20705,United States,,39.04129537,-76.904663085938,,,0
Jessup,,7410 Washington Blvd,,Jessup,MD,21075,United States,,39.18212451,-76.767166137695,,,0
Woodbridge,,14501 Jefferson Davis Hwy,,Woodbridge,VA,22191,United States,,38.63789222,-77.268074035645,,,0
Upper Marlboro,,8331 Old Marlboro Pike,,Forestville,MD,20772,United States,,38.83516065,-76.862182617188,,,0
Bladensburg,,4201 Kenilworth Ave,,Bladensburg,MD,21230,United States,,38.94264283,-76.933677673340,,,0
Baltimore,,2900 Washington Blvd,,Baltimore,MD,21230,United States,,39.26202705,-76.657966613770,,,0
Woodbridge,,13300 Occoquan Rd,,Woodbridge,VA,22191,United States,,38.66350228,-77.253639221191,,,0
Baltimore,,2749 Hawkins Point Rd,,Baltimore,MD,21226,United States,,39.20342952,-76.564697265625,,,0
Rockville,,2 Southlawn Court,,Rockville,MD,20850,United States,,39.10251235,-77.131034851074,,,0
Capitol Heights,,200 Milky Way,,Capitol Heights,MD,20743,United States,,38.88564471,-76.858665466309,,,0
Baltimore,,7300 Rolling Mill Rd,,Baltimore,MD,21124,United States,,39.30036808,-76.519897460938,,,0
Salisbury,,1702 Northwood Dr.,,Salisbury,MD,21801,United States,,38.38577114,-75.586044311523,,,0
Baltimore,,1225 Chesapeake Ave.,,Baltimore,MD,21226,United States,,39.23707074,-76.589065551758,,,0
New Castle,,1550 Matassino Rd.,,New Castle,DE,19720,United States,,39.69171949,-75.577392578125,,,0
Glen Burnie,,508 Digiulian Blvd.,,Glen Burnie,MD,21061,United States,,39.16031666,-76.670425415039,,,0
Clinton,,6801 Old Alexandria Ferry Rd,,Clinton,MD,20735,United States,,38.78331794,-76.889335632324,,,0
Landover,,3701 Pennsy Dr,,Landover,MD,20785,United States,,38.94146109,-76.872406005859,,,0
Gaithersburg,,19210 Woodfield Rd,,Gaithersburg,MD,20879,United States,,39.17166572,-77.153976440430,,,0
Levittown,,56 Runway Rd,,Levittown,PA,19057,United States,,40.12981471,-74.847236633301,,,0
Sharon Hill,,1252 Calcon Hook Rd,,Sharon Hill,PA,19079,United States,,39.89764954,-75.263648986816,,,0
Allentown,,1046 N. Godfrey St.,,Allentown,PA,18109,United States,,40.62577143,-75.446403503418,,,0
Martinsburg,,1100 Winchester Ave,,Martinsburg,WV,25401,United States,,39.44276925,-77.981811523438,,,0
Winchester,,151 Ryco Lane,,Winchester,VA,22602,United States,,39.15717067,-78.149269104004,,,0
Hagerstown,,113 E Oak Ridge Dr,,Hagerstown,MD,21740,United States,,39.61154271,-77.726867675781,,,0
Hagerstown,,16120 Business Pkwy,,Hagerstown,MD,21740,United States,,39.63641501,-77.811805725098,,,0
Winchester,,150 Park Center Dr,,Winchester,VA,22603,United States,,39.20926276,-78.145851135254,,,0
Frederick,,4610 Wedgewood Blvd,,Frederick,MD,21704,United States,,39.36324884,-77.424232482910,,,0
Frederick,,1577 Tilco Dr,,Frederick,MD,21703,United States,,39.39738044,-77.384956359863,,,0
Chambersburg,,875 South Main St.,,Chambersburg,PA,17201,United States,,39.92541686,-77.664161682129,,,0
Warrenton,,81 Broadview Ave,,Warrenton,VA,20186,United States,,38.7195539,-77.806556701660,,,0
Sterling,,45149 Old Ox Rd,,Sterling,VA,22170,United States,,38.97908355,-77.438919067383,,,0
Manassas,,8001 Wellingford Dr,,Manassas,VA,20109,United States,,38.78365571,-77.555068969727,,,0
Manassas Park,,9099 Owens Court,,Manassas Park,VA,20111,United States,,38.77235453,-77.443168640137,,,0
Chantilly,,14060 Willard Rd,,Chantilly,VA,20153,United States,,38.88636792,-77.432479858398,,,0
Culpeper,,15427 Brandy Rd,,Culpeper,VA,22701,United States,,38.48691496,-77.962547302246,,,0
