store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Wal-Mart Headquarters,,702 SW 8th St,,Bentonville,AR,72716,United States,,36.3656,-94.2181,,,0
Private: State Farm #1,,1 State Farm Plaza,,B-4 Bloomington,IL,61710,United States,(309) 261 - 5483,40.4773,-88.9552,,,0
Private: State Farm #2,,3 State Farm Plaza,,Building P Bloomington,IL,61704,United States,(309) 766 - 3909,40.4573,-88.9538,,,0
Private: State Farm #3,,3 State Farm Plaza,,Building H Bloomington,IL,61704,United States,(309) 763-2426,40.4573,-88.9538,,,0
Longview,,1009 Wal St,,Longview,TX,75605,United States,(903) 663-9500,32.5446,-94.7295,,,0
Troup and the Loop,,3316 Troup Hwy,,Tyler,TX,75701,United States,(903) 593 - 1100,32.313,-95.2751,,,0
Tyler #2,,6621 S.,,Broadway,Tyler,,United States,903-630-7820,32.2775,-95.3066,,,0
Southaven,,6582 Getwell Rd Suite A,,Southaven,MS,38672,United States,(662) 655 - 1073,34.9564,-89.9367,,,0
Ole Miss,,1801 Jackson Ave W,,Oxford,MS,38655,United States,(662) 638-0595,34.3656,-89.5539,,,0
Woodlands Plaza,,3500 Villa Point,,Owensboro,KY,42303,United States,(270) 686 - 7505,37.7507,-87.0541,,,0
Tupelo,,3356 N Gloster St,,Tupelo,MS,38804,United States,(662) 260-3026,34.3029,-88.7074,,,0
St. Matthews,,285 N Hubbards Ln,,Louisville,KY,40207,United States,(502) 897 - 5323,38.258,-85.6391,,,0
Starkville,,87-1 Cotton Mill Dr,,Starkville,MS,39759,United States,(662) 268 - 6210,33.457,-88.8039,,,0
Providence Marketplace,,401 S Mt Juliet Rd #355 Mount,,Juliet,TN,37122,United States,(615) 758 - 0898,36.1642,-86.5079,,,0
Middletown,,12915 Shelbyville Rd,,Louisville,KY,40243,United States,(502) 365-1424,38.2442,-85.5149,,,0
Madison,,8044 HWY 72 West,,Madison,AL,25758,United States,(256) 858-1088,34.7521,-86.7511,,,0
Memorial Parkway,,3002 Memorial Pkwy SW,,Huntsville,AL,35801,United States,(256) 489 - 7257,34.7042,-86.5888,,,0
Regency Centre,,2380 Norman Ln,,Lexington,KY,40503,United States,(859) 277 - 2572,38.0046,-84.5197,,,0
Green Oak Village Place,,9725 Village Pl Blvd,,Brighton,MI,48116,United States,(810) 227 - 2572,42.5283,-83.8278,,,0
Hixson,,252 Northgate Mall,,Dr,Chattanooga,,United States,(423) 661-8600,35.1319,-85.2389,,,0
Hamilton Corner,,2115 Gunbarrel Rd,,Chattanooga,TN,37421,United States,(423) 894 - 7144,35.034,-85.1544,,,0
Ooltewah,,9032 Old Lee Highway,,Suite 120,TN,37363,United States,(423) 910-5167,35.0838,-85.0703,,,0
Rochester Rd,,6892 Rochester Rd,,Troy,MI,48085,United States,(248) 828 - 2700,42.6215,-83.1299,,,0
GM Renaissance Center,,100 Renaissance CenterSuite A106,,Detroit,MI,48243,United States,(313) 567 - 3701,42.3291,-83.0406,,,0
Oak Ridge,,288 S Illinois Ave Oak,,Ridge,TN,37830,United States,(865) 272 - 3891,36.0069,-84.2578,,,0
Romeo Commons,,18325 Hall Rd,,Macomb,MI,48044,United States,(586) 416 - 2800,42.6285,-82.9392,,,0
Turkey Creek,,10919 Parkside Dr,,Knoxville,TN,37934,United States,(865) 671 - 2426,35.9036,-84.1468,,,0
Cedar Bluff,,105 Moss Grove Blvd,,Knoxville,TN,37922,United States,(856) 394 - 6810,35.9089,-84.0919,,,0
Clinton Highway,,6645 Clinton Hwy,,Knoxville,TN,37912,United States,(865) 859 - 9417,36.0064,-84.022,,,0
Powell,,570 East Emory,,Rd,Powell,,United States, (865) 512-9137,36.0509,-83.9936,,,0
West Town,,100 Jack Dance Dr,,Knoxville,TN,37919,United States,(865) 690 - 0486,35.927,-84.0433,,,0
Fountain City,,5224 N Broadway St,,Knoxville,TN,37918,United States,(865) 688 - 1020,36.0335,-83.931,,,0
Hamilton Crossing,,715 Louisville Rd,,Alcoa,TN,37701,United States,(865) 981 - 4306,35.7715,-83.9866,,,0
Pigeon Forge,,2250 Parkway Pigeon,,Forge,TN,37863,United States,(865) 429 - 0991,35.8155,-83.5786,,,0
Festival Plaza,,8015 Vaughn Rd,,Montgomery,AL,36116,United States,(334) 356 - 5430,32.339,-86.173,,,0
Alpharetta,,5215 Windward Pkwy Suite A,,Alpharetta,GA,30004,United States,(770) 754-5822,34.0909,-84.2764,,,0
Auburn University,,1310 Wilmore Dr Auburn,,University,AL,36849,United States,,32.6057,-85.4849,,,0
