store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Queen Creek,,Queen Creek Marketplace - Coming Fall '17,20491 E. Rittenhouse Rd.,Queen Creek,Arizona,85142,United States,,,,,,0
Albuquerque,,Winrock Town Center - Coming Summer '17,2100 Louisiana Boulevard NE,Albuquerque,New Mexico,87110-5419,United States,,,,,,0
Gilbert,,Rivulon - NOW OPEN!,75 East Rivulon Boulevard,Gilbert,Arizona,85297,United States,480.550.4000,,,,,0
Chandler,,Downtown Ocotillo,2551 W Queen Creek Road,Chandler,Arizona,85248,United States,480.388.3640 ,,,,,0
Mesa,,Dana Park Mall,3426 E. Baseline Road,Mesa,Arizona,85204,United States,480.497.3500 ,,,,,0
Phoenix,,Uptown,25 East Camelback Road,Phoenix ,Arizona,85012,United States,602.845.7007,,,,,0
Phoenix,,Sky Harbor Airport,3400 E Sky Harbor Boulevard,Phoenix,Arizona,85034,United States,602.273.3300,,,,,0
Phoenix,,Madison Village,742 E Glendale Avenue,Phoenix,Arizona,85020,United States,602.216.2400 ,,,,,0
Phoenix,,The Shops At Norterra,2470 W. Happy Valley Road,Phoenix,Arizona,85085,United States,623.414.4866 ,,,,,0
Scottsdale,,The Scottsdale Waterfront,7135 E Camelback Rd,Scottsdale,Arizona,85251,United States,480.321.8844 ,,,,,0
Scottsdale,,Thunderbird Square,14418 N Scottsdale Rd,Scottsdale,Arizona,85254,United States,480.321.8800 ,,,,,0
Tucson,,Grant,6450 E. Grant Rd.,Tucson,Arizona,85715,United States,520.203.0681,,,,,0
Tucson,,Campbell Plaza,2990 N Campbell,Tucson,Arizona,85719,United States,520.795.0344 ,,,,,0
Tucson,,Target Center,5285 E Broadway,Tucson,Arizona,85711,United States,520.514.1122 ,,,,,0
Tucson,,Casas Adobes,7117 N Oracle Road,Tucson,Arizona,85704,United States,520.297.8575 ,,,,,0
