store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
84th & Van Dorn,,2901 S. 84th St. Suites 1 & 2,,Lincoln,NE,68506,United States,402-327-8477,40.78247659999999,-96.60692749999998,Mon-Fri 6:00AM - 10:00PM; Sat 6:30 AM - 10:00PM; Sun 7:00AM - 10:00PM ; ,,0
S. 33rd & Pioneer,,4321 S 33rd Street,,Lincoln,NE,68516,United States,402-327-0560,40.7691891,-96.6733277,Mon-Fri 6:00AM - 8:00PM; Sat 6:30AM - 8:00PM; Sun 7:00AM - 8:00PM; ,,0
626 Andover,,626 Andover Rd. Suite 100,,Andover,KS,67002,United States,316-733-1330,37.6767176,-97.1345606,Mon-Sat 6:00AM - 8:00PM; Sun 7:00AM - 6:00PM; ,,0
27th & Superior,,2700 Dan Ave.,,Lincoln,NE,68504,United States,402-742-0263,40.854042,-96.681723,Mon-Sun 6:00AM - 10:00PM; ,,0
State Office Building,,301 Centennial Mall S.,,Lincoln,NE,68509,United States,402-476-4111,40.810831,-96.700452,Mon-Fri 6:45AM - 5:00PM; Sat-Sun CLOSED; ,,0
84th & F,,8401 F St.,,Omaha,NE,68127,United States,402-502-7299,41.2236003,-96.043147,Mon-Fri 6:00AM - 7:00PM; Sat-Sun 6:30AM - 7:00PM; ,,0
122nd & Center,,12246 W Center Rd.,,Omaha,NE,68144,United States,402-359-1111,41.234105,-96.1053185,Mon-Sun 6:00AM - 8:00PM; ,,0
Academy Blvd.,,4296 N. Academy Blvd.,,Colorado Springs,CO,80918,United States,719-266-6832,38.8908993,-104.757102,Mon-Sat 6:00AM - 8:00PM; Sun 7:00AM - 7:00PM; ,,0
Rockbrook Village,,2812 S. 108th St.,,Omaha,NE,68144,United States,402-614-6099,41.2334729,-96.0823097,Mon-Sat 6:00AM - 8:00PM; Sun 6:00AM - 7:00PM; ,,0
144th & Dayton,,4259 S. 144th St.,,Omaha,NE,68137,United States,402-905-0880,41.2177315,-96.138604,Mon-Sun 6:00AM - 8:00PM; ,,0
84th and Adams,,2790 N. 83rd St.,,Lincoln,NE,68507,United States,402-421-0883,40.8414288,-96.606856,Mon-Fri 6:00AM - 7:00PM; Sat 6:30AM - 6:00PM; Sun 7:00AM - 5:00PM; ,,0
57th & Marion,,5303 W. 57th St.,,Sioux Falls,SD,57106,United States,605-275-4234,43.5002847,-96.7919885,Mon-Sun 6:00AM - 7:00PM; ,,0
K7 & Santa Fe,,154 S. Parker St.,,Olathe,KS,66061,United States,913-839-8235,38.8810262,-94.8343802,Mon-Sat 6:00AM - 7:00PM; Sun- 7:00AM - 6:00PM; ,,0
90th & Blair High,,6102 Irvington Rd.,,Omaha,NE,68134,United States,402-571-4275,41.3147507,-96.052617,Mon-Sat 6:00AM - 7:00PM; Sun 7:00AM - 7:00PM; ,,0
145th & Center,,14501 West Center Rd.,,Omaha,NE,68144,United States,402-932-7995,41.2333531,-96.14213089999998,Mon-Sun 6:00AM - 9:00PM; ,,0
Mid-Rivers Dr.,,322 Mid Rivers Mall Dr.,,St. Peters,MO,63376,United States,636-387-5012,38.7924933,-90.6237721,Mon-Fri 6:00AM - 6:00PM; Sat 7:00AM - 6:00PM; Sun 7:30AM - 5:00PM; ,,0
76th & Pacific,,7595 Pacific St.,,Omaha,NE,68114,United States,402-502-1961,41.2486245,-96.0313427,Mon-Sun 6:00AM - 8:00PM; ,,0
