store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"18757 U.s. Highway 13, Bridgeville",,18757 U.s. Highway 13 ,,Bridgeville,DE, 19933,US,(302) 337-9830,38.7210477942474,-75.5891615152359,Mon 6:00 AM - 12:00 AM; Tue 6:00 AM - 12:00 AM; Wed 6:00 AM - 12:00 AM; Thu 6:00 AM - 12:00 AM; Fri 6:00 AM - 1:00 AM; Sat 6:00 AM - 1:00 AM; Sun 6:00 AM - 12:00 AM,,0
"7449 Gall Blvd, Zephyrhills",,7449 Gall Blvd ,,Zephyrhills,FL, 33541,US,(813) 782-2372,28.2660839949255,-82.1888145804405,Mon 6:00 AM - 12:00 AM; Tue 6:00 AM - 12:00 AM; Wed 6:00 AM - 12:00 AM; Thu 6:00 AM - 12:00 AM; Fri 6:00 AM - 12:00 AM; Sat 6:00 AM - 12:00 AM; Sun 6:00 AM - 12:00 AM,,0
"463939 S.r. 200 A1a, Yulee",,463939 S.r. 200 A1a ,,Yulee,FL, 32097,US,(904) 491-0465,30.625024492604815,-81.54050856828695,Mon 6:00 AM - 12:00 AM; Tue 6:00 AM - 12:00 AM; Wed 6:00 AM - 12:00 AM; Thu 6:00 AM - 12:00 AM; Fri 6:00 AM - 12:00 AM; Sat 6:00 AM - 12:00 AM; Sun 7:00 AM - 12:00 AM,,0
"1033 North Colony Road, Wallingford",,1033 North Colony Road ,,Wallingford,CT, 06492,US,(203) 265-9001,41.4935322913717,-72.8101299402465,Mon 7:00 AM - 12:00 AM; Tue 7:00 AM - 12:00 AM; Wed 7:00 AM - 12:00 AM; Thu 7:00 AM - 12:00 AM; Fri 7:00 AM - 12:00 AM; Sat 7:00 AM - 12:00 AM; Sun 7:00 AM - 12:00 AM,,0
"411 E Highway 24, Woodland Park",,411 E Highway 24 ,,Woodland Park,CO, 80866,US,(719) 687-6015,38.990673,-105.047816,Mon 6:00 AM - 12:00 AM; Tue 6:00 AM - 12:00 AM; Wed 6:00 AM - 12:00 AM; Thu 6:00 AM - 12:00 AM; Fri 6:00 AM - 12:00 AM; Sat 6:00 AM - 12:00 AM; Sun 6:00 AM - 12:00 AM,,0
"58145 29 Palms Highway, Yucca Valley",,58145 29 Palms Highway ,,Yucca Valley,CA, 92284,US,(760) 365-1190,34.1285717218202,-116.394474961025,Mon 8:00 AM - 10:00 PM; Tue 8:00 AM - 10:00 PM; Wed 8:00 AM - 10:00 PM; Thu 8:00 AM - 10:00 PM; Fri 8:00 AM - 11:00 PM; Sat 8:00 AM - 11:00 PM; Sun 8:00 AM - 10:00 PM,,0
"404 Highway 62 East, Yellville",,404 Highway 62 East ,,Yellville,AR, 72687,US,(870) 449-2600,36.2260528141023,-92.6794544012955,Mon 6:00 AM - 10:00 PM; Tue 6:00 AM - 10:00 PM; Wed 6:00 AM - 10:00 PM; Thu 6:00 AM - 10:00 PM; Fri 6:00 AM - 11:00 PM; Sat 6:00 AM - 11:00 PM; Sun 6:00 AM - 10:00 PM,,0
"2581 U.s. Hwy 43, Winfield",,2581 U.s. Hwy 43 ,,Winfield,AL, 35594,US,(205) 487-0880,33.9376,-87.8407,Mon 7:00 AM - 11:00 PM; Tue 7:00 AM - 11:00 PM; Wed 7:00 AM - 11:00 PM; Thu 7:00 AM - 11:00 PM; Fri 7:00 AM - 11:00 PM; Sat 7:00 AM - 11:00 PM; Sun 7:00 AM - 11:00 PM,,0
"2423 South First Street, Tucumcari",,2423 South First Street ,,Tucumcari,NM, 88401,US,(575) 461-1922,35.1566899814224,-103.724361956119,Mon 6:00 AM - 11:00 PM; Tue 6:00 AM - 11:00 PM; Wed 6:00 AM - 11:00 PM; Thu 6:00 AM - 11:00 PM; Fri 6:00 AM - 12:00 AM; Sat 6:00 AM - 12:00 AM; Sun 6:00 AM - 11:00 PM,,0
"244 Route 46, Totowa",,244 Route 46 ,#189 ,Totowa,NJ, 07512,US,(973) 785-9500,40.8934103565689,-74.229764342308,Mon 6:00 AM - 12:00 AM; Tue 6:00 AM - 12:00 AM; Wed 6:00 AM - 12:00 AM; Thu 6:00 AM - 12:00 AM; Fri 6:00 AM - 1:00 AM; Sat 6:00 AM - 1:00 AM; Sun 6:00 AM - 12:00 AM,,0
