store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Mobile,,770 Schillinger Road South,,Mobile,AL,36695,United States,251-634-0999,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Merritt Island,,310 N. Courtenay Parkway,,Merritt Island,FL,32953,United States,321-449-9102,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Melbourne,,150 Sheriff Drive,,Melbourne,FL,32940,United States,321-242-4600,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Marianna,,2250 Highway 71,,Marianna,FL,32448,United States,850-526-7274,,,Sun-Thurs10:30am - 9:30pmFri-Sat 10:30am - 10:00pm,,0
Lynn Haven,,2240 S. Highway 77,,Lynn Haven,FL,32444,United States,850-763-5114,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 9:00pm,,0
Largo,,2250 Seminole Blvd.,,Largo,FL,33778,United States,727-501-9000,,,Sun-Thurs11:00am - 9:30 pmFri-Sat 11:00am - 10:00pm,,0
Lakeland - South,,5910 S. Florida Ave.,,Lakeland,FL,33813,United States,863-646-2990,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 9:30pm,,0
Lakeland - North,,3611 U.S. Hwy 98 North,,Lakeland,FL,33809,United States,863-853-8283,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Lake City,,3177 West US Hwy 90,,Lake City,FL,32055,United States,386-752-1117,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Jax - University,,5097 University Blvd.,,Jacksonville,FL,32216,United States,904-737-4906,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Jax - Lane Ave.,,1923 South Lane Avenue,,Jacksonville,FL,32210,United States,904-786-0081,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Jax - San Jose,,12485 San Jose Blvd.,,Jacksonville,FL,32223,United States,904-288-7928,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Concord,,7820 Lyles Lane,,Concord,NC,28027,United States,704-979-0073,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 9:30pm,,0
Mooresville,,328 West Plaza Drive,,Mooresville,NC,28117,United States,704-662-0761,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 9:30pm,,0
Charlotte - Tyvola,,440 Tyvola Road,,Charlotte,NC,28217,United States,704-523-1053,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 9:30pm,,0
Charlotte - Pineville Matthews,,3351-300 Pineville Matthews Road,,Charlotte,NC,28226,United States,704-910-3038,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 9:30pm,,0
Jax - Harts Road,,10840 Harts Road,,Jacksonville,FL,32218,United States,904-751-4225,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 10:00pm,,0
"Brandon, MS",,1374 West Government St.,,Brandon,MS,39042,United States,601-825-7675,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 9:30pm,,0
Jax - Blanding,,4434 Blanding Blvd.,,Jacksonville,FL,32210,United States,904-777-0730,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Jax - Atlantic,,12719 Atlantic Blvd.,,Jacksonville,FL,32225,United States,904-220-9499,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 10:00pm,,0
Rock Hill,,2781 Cherry Rd,,Rock Hill,SC,29730,United States,803-324-7984,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 9:30pm,,0
Somerset,,70 Sonny's Way,,Somerset,KY,42501,United States,606-678-0198,,,Sun-Thurs11:00am - 9:30pmFri-Sat 11:00am - 9:30pm,,0
Baton Rouge,,12475 Florida Blvd.,,Baton Rouge,LA,70815,United States,225-272-5028,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 10:00pm,,0
Richmond,,1001 Center Drive,,Richmond,KY,40475,United States,859-624-4499,,,Sun-Thurs10:45am - 9:35pmFri-Sat 10:45am - 10:05pm,,0
Corbin,,200 Hwy. 770,,Corbin,KY,40701,United States,606-526-0000,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 10:00pm,,0
Nicholasville,,109 North Plaza Drive,,Nicholasville,KY,40356,United States,859-887-0021,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 10:00pm,,0
Valdosta,,1701 Norman Dr.,,Valdosta,GA,31601,United States,229-241-8090,,,Sun-Thurs10:45am - 9:35pmFri-Sat 10:45am - 10:05pm,,0
Warner Robins,,811 Russell Parkway,,Warner Robins,GA,31088,United States,478-929-3333,,,Sun-Thurs11:00am - 9:35pmFri-Sat 11:00am - 10:05pm,,0
Thomasville,,14293 U.S. Hwy 19 South,,Thomasville,GA,31792,United States,229-558-9000,,,Sun-Thurs11:00am - 9:00pmFri-Sat 11:00am - 10:00pm,,0
