store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,700,100 Main Street,,Corinth,NY,12822,United States,(518) 654-6779,43.246911,-73.83415500000,7am-9pm Daily,,0
,433,3 Clifton Springs Plaza,,Clifton Springs,NY,14432,United States,(315) 462-9055,42.969154,-77.14132699999,,,0
,568,"5 Commons Drive, Rt 28",,Cooperstown,NY,13326,United States,(607) 547-5956,42.7006303,-74.924321,6 am - 11pm,,0
,368,8417 Oswego Road,,Baldwinsville,NY,13027,United States,(315) 652-4934,43.1784225,-76.2574733,6 am - Midnight,,0
,359,800 W. Genesee Street,,Chittenango,NY,13037,United States,(315) 687-9224,43.053864,-75.862908,6 am - Midnight,,0
,712,6308 U.S. 9,,Chestertown,NY,12817,United States,(518) 494-7111,43.649833,-73.80009999999,Sun 7am-7pm; Mon-Sat 7am-9pm,,0
,44,3870 Harlem Road,,Buffalo,NY,14215,United States,(716) 836-0433,42.9489084,-78.78501039999,6 am - Midnight,,0
,131,700 Thruway Plaza Dr,,Cheektowaga,NY,14225,United States,(716) 929-0380,42.904088,-78.7804309,6 am - Midnight,,0
,202,3865 Union Road,,Cheektowaga,NY,14225,United States,(716) 684-5927,42.9198661,-78.7541401,24 Hours,,0
,367,71 Nelson Street,,Cazenovia,NY,13035,United States,(315) 655-4565,42.9282888,-75.8462138,Open 24 hours daily,,0
,535,1936 US Route 6,,Carmel Hamlet,NY,10512,United States,(845) 225-4151,41.411912,-73.663724,24 Hours,,0
,360,Rt. 5 & Oxbow Road,,Canastota,NY,13032,United States,(315) 697-2700,43.069713,-75.752117,6am - Midnight,,0
,432,5150 North Street,,Canandaigua,NY,14424,United States,(585) 394-5120,42.904359,-77.297259,24 Hours,,0
,358,5335 West Genesee Street,,Camillus,NY,13031,United States,(315) 487-0787,43.0411326,-76.2718874,6am - Midnight,,0
,586,9554 Harden Blvd/State Rt 13,,Camden,NY,13316,United States,(315) 245-4745,43.3345138,-75.747964,6am - Midnight,,0
,113,425 Niagara Street,,Buffalo,NY,14201,United States,(716) 852-6112,42.896132,-78.886379,6 am - Midnight,,0
,740,Norton Place & Main Street,,Rutland,VT,05701,United States,(802) 775-6986,43.598824,-72.970427,6 AM to Midnight,,0
,741,63 Plaze Drive,,Northfield,VT,05663,United States,(802) 485-8878,44.161487,-72.655666,"Sunday, 7AM - 8PM, Monday - Saturday, 7AM - 9PM",,0
,742,82 VT Route 15W,,Hardwick,VT,05843,United States,(802) 472-6504,44.503384,-72.360273,,,0
,669,28 Railroad Street,,Youngsville,PA,16371,United States,(814) 563-4366,41.850246,-79.3173018,6am- 10pm,,0
,620,198 West Main Street,,Westfield,PA,16950,United States,(814) 367-2320,41.918287,-77.542718,7AM - 9PM,,0
,676,11 Main Street,,Wellsboro,PA,16901,United States,(570) 724-5426,41.749877,-77.2988571,6am- Midnight,,0
,667,"230 South High St., PO Box 327",,Waterford,PA,16441,United States,(814) 796-6711,41.941886,-79.9838664,6am - 10pm,,0
,603,74 Market Street,,Warren,PA,16365,United States,(814) 726-3660,41.84302,-79.144049,6AM to Midnight,,0
,668,19-21 East High Street,,Union City,PA,16438,United States,(814) 438-7614,41.8996743,-79.8437926,6am - 10pm,,0
,677,684 Elmira Street,,Troy,PA,16947,United States,(570) 297-2475,41.7901778,-76.7788952,6am - Midnight,,0
,680,"Bradford Towne Center, RR Box 6035",,Towanda,PA,18848,United States,(570) 265-7006,41.7725677,-76.3898391,Open 24 hours daily,,0
,671,9 Leather Street,,Warren,PA,16365,United States,(814) 968-3014,41.7025527,-79.0320719,6am- 10pm,,0
