store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Morrisburg Shopping Plaza, 5 Main Str. Box 737, Morrisburg",2650,"Morrisburg Shopping Plaza, 5 Main Str. Box 737 ",,Morrisburg,ON,K0C 1X0,Canada,Contact,44.90065,-75.1837,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 7:00 PMSunday: 8:00 AM - 7:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
Aylmer valu-mart,0856,125 John Street  North ,,Aylmer,ON,N5H 2A7,Canada,Contact,42.77439,-80.98219,Friday: 8:00 AM - 8:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 10:00 AM - 5:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
Maurices valu-mart,0465,277 King Street ,,Midland,ON,L4R 3M4,Canada,Contact,44.750009,-79.884973,Friday: 7:00 AM - 9:00 PMSaturday: 8:00 AM - 7:00 PMSunday: 9:00 AM - 7:00 PMMonday: 7:00 AM - 9:00 PMTuesday: 7:00 AM - 9:00 PMWednesday: 7:00 AM - 9:00 PMThursday: 7:00 AM - 9:00 PM,,0
"13 Beech Street, Chapleau",0413,13 Beech Street ,,Chapleau,ON,P0M 1K0,Canada,Contact,47.84217,-83.40313,Friday: 8:30 AM - 8:00 PMSaturday: 8:30 AM - 5:30 PMSunday: 11:00 AM - 4:00 PMMonday: 8:30 AM - 6:00 PMTuesday: 8:30 AM - 6:00 PMWednesday: 8:30 AM - 6:00 PMThursday: 8:30 AM - 6:00 PM,,0
Todd's valu-mart,0851,52 Bridge Street ,,Hastings,ON,K0L 1Y0,Canada,Contact,44.31081,-77.95721,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 8:00 AM - 8:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
Deans valu-mart,0455,55 Josephine St. ,,Wingham,ON,N0G 2W0,Canada,Contact,43.88142,-81.31513,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 9:00 AM - 5:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
valu-mart On Bayview,0449,3259 Bayview Avenue ,,Toronto,ON,M2K 1G4,Canada,Contact,43.7919,-79.3929,Friday: 8:00 AM - 9:00 PMSaturday: 7:00 AM - 8:00 PMSunday: 9:00 AM - 8:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
Rousselles valu-mart,2680,3 Huron Walk  Unit #1 ,,Manitouwadge,ON,P0T 2C0,Canada,Contact,49.134798,-85.825538,Friday: 9:00 AM - 7:00 PMSaturday: 9:00 AM - 6:00 PMSunday: 11:00 AM - 6:00 PMMonday: 9:00 AM - 6:00 PMTuesday: 9:00 AM - 6:00 PMWednesday: 9:00 AM - 6:00 PMThursday: 9:00 AM - 7:00 PM,,0
Huttons valu-mart,0833,105 Causley St.  PO Box 1358 ,,Blind River,ON,P0R 1B0,Canada,Contact,46.18406,-82.94957,Friday: 9:00 AM - 8:00 PMSaturday: 8:30 AM - 5:30 PMSunday: 11:00 AM - 5:00 PMMonday: 9:00 AM - 6:00 PMTuesday: 9:00 AM - 6:00 PMWednesday: 9:00 AM - 6:00 PMThursday: 9:00 AM - 6:00 PM,,0
Johns valu-mart,2649,186 Mission Road PO Box 360 ,,Wawa,ON,P0S 1K0,Canada,Contact,47.990046,-84.775076,Friday: 8:30 AM - 7:00 PMSaturday: 8:30 AM - 6:00 PMSunday: 10:00 AM - 5:00 PMMonday: 8:30 AM - 6:00 PMTuesday: 8:30 AM - 6:00 PMWednesday: 8:30 AM - 6:00 PMThursday: 8:30 AM - 6:00 PM,,0
Coniston VM Coniston,0874,24 Amanda Street ,,Coniston,ON,P0M 1M0,Canada,Contact,46.49409,-80.84606,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 5:30 PMSunday: 9:00 AM - 5:00 PMMonday: 8:00 AM - 7:00 PMTuesday: 8:00 AM - 7:00 PMWednesday: 8:00 AM - 7:00 PMThursday: 8:00 AM - 9:00 PM,,0
Davidson's valu-mart,2679,985 Woodbine Ave ,,Toronto,ON,M4C 4B8,Canada,Contact,43.68609,-79.31279,Friday: 6:00 AM - 11:00 PMSaturday: 6:00 AM - 11:00 PMSunday: 6:00 AM - 11:00 PMMonday: 6:00 AM - 11:00 PMTuesday: 6:00 AM - 11:00 PMWednesday: 6:00 AM - 11:00 PMThursday: 6:00 AM - 11:00 PM,,0
Applewood valu-mart,0442,1125 Bloor St. East ,,Mississauga,ON,L4Y 2N6,Canada,Contact,43.611012,-79.601193,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 9:00 AM - 8:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
"512 St. Philippe Street, Alfred",2621,512 St. Philippe Street ,,Alfred,ON,K0B 1A0,Canada,Contact,45.557036,-74.886767,Friday: 8:00 AM - 8:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 8:00 AM - 6:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
Dean's Valu-mart Gore Bay,2635,40 Meredith Street ,,Gore Bay,ON,P0P 1H0,Canada,Contact,45.915961,-82.464042,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 9:00 AM - 6:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 9:00 PM,,0
Johns valu-mart,0481,179 Wortley Rd ,,London,ON,N6C 3P6,Canada,Contact,42.970446,-81.252527,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 9:00 PMSunday: 9:00 AM - 7:00 PMMonday: 8:00 AM - 9:00 PMTuesday: 8:00 AM - 9:00 PMWednesday: 8:00 AM - 9:00 PMThursday: 8:00 AM - 9:00 PM,,0
Bowles valu-mart,0401,Bridgenorth Plaza  871 Ward St. ,,Bridgenorth,ON,K0L 1H0,Canada,Contact,44.374043,-78.383569,Friday: 8:00 AM - 8:00 PMSaturday: 8:00 AM - 6:00 PMSunday: 8:00 AM - 6:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
Reids valu-mart,0440,42 Russell St. W ,,Lindsay,ON,K9V 2W9,Canada,Contact,44.354218,-78.738136,Friday: 7:30 AM - 9:00 PMSaturday: 7:30 AM - 6:00 PMSunday: 7:30 AM - 6:00 PMMonday: 7:30 AM - 9:00 PMTuesday: 7:30 AM - 9:00 PMWednesday: 7:30 AM - 9:00 PMThursday: 7:30 AM - 9:00 PM,,0
"42 Matthew Street PO Box 457, Marmora",2662,42 Matthew Street PO Box 457 ,,Marmora,ON,K0K 2M0,Canada,Contact,44.483834,-77.678842,Friday: 8:00 AM - 9:00 PMSaturday: 8:00 AM - 8:00 PMSunday: 8:00 AM - 8:00 PMMonday: 8:00 AM - 8:00 PMTuesday: 8:00 AM - 8:00 PMWednesday: 8:00 AM - 8:00 PMThursday: 8:00 AM - 8:00 PM,,0
