store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
THE VILLAGE AT PARK ROYAL,,925 Main Street,,West Vancouver,British Columbia,V7T 2Z3,Canada,(778) 279-7253,,,Monday:10:00am - 7:00pm; Tuesday:10:00am - 7:00pm; Wednesday:10:00am - 9:00pm; Thursday:10:00am - 9:00pm; Friday:10:00am - 9:00pm; Saturday:9:30am - 7:30pm; Sunday:11:00am - 6:00pm,,
GUILDFORD TOWN CENTRE,,10355 152 Street,,Surrey,British Columbia,V3R 7C1,Canada,(604) 498-3135,,,Monday:10:00am - 9:00pm; Tuesday:10:00am - 9:00pm; Wednesday:10:00am - 9:00pm; Thursday:10:00am - 9:00pm; Friday:10:00am - 9:00pm; Saturday:10:00am - 9:00pm; Sunday:10:00am - 6:00pm,,
MARINE DRIVE,,14837 Marine Drive,,White Rock,British Columbia,V4B 1C1,Canada,(604) 535-0650,,,Monday:10:00am - 6:00pm; Tuesday:10:00am - 6:00pm; Wednesday:10:00am - 6:00pm; Thursday:10:00am - 6:00pm; Friday:10:00am - 6:00pm; Saturday:10:00am - 6:00pm; Sunday:10:00am - 6:00pm,,
ROBSON STREET,,1091 Robson Street,,Vancouver,British Columbia,V6E 1A9,Canada,(604) 558-1900,,,Monday:10:00am - 9:00pm; Tuesday:10:00am - 9:00pm; Wednesday:10:00am - 9:00pm; Thursday:10:00am - 9:00pm; Friday:10:00am - 9:00pm; Saturday:10:00am - 9:00pm; Sunday:11:00am - 8:00pm,,
METROPOLIS AT METROTOWN,,4700 Kingsway,,Burnaby,British Columbia,V5H 4M1,Canada,(604) 434-2388,,,Monday:10:00am - 9:00pm; Tuesday:10:00am - 9:00pm; Wednesday:10:00am - 9:00pm; Thursday:10:00am - 9:00pm; Friday:10:00am - 9:00pm; Saturday:10:00am - 9:00pm; Sunday:11:00am - 7:00pm,,
LONSDALE QUAY MARKET,,123 Carrie Cates Court,,North Vancouver,British Columbia,V7M 3K7,Canada,(604) 988-9688,,,Monday:10:00am - 7:00pm; Tuesday:10:00am - 7:00pm; Wednesday:10:00am - 7:00pm; Thursday:10:00am - 7:00pm; Friday:10:00am - 7:00pm; Saturday:10:00am - 7:00pm; Sunday:10:00am - 7:00pm,,
WEST 4TH,,2252 West 4 Avenue,,Vancouver,British Columbia,V6K 1N8,Canada,(604) 738-7253,,,Monday:10:00am - 7:00pm; Tuesday:10:00am - 7:00pm; Wednesday:10:00am - 8:00pm; Thursday:10:00am - 8:00pm; Friday:10:00am - 8:00pm; Saturday:10:00am - 7:00pm; Sunday:11:00am - 7:00pm,,
COQUITLAM CENTRE,,2929 Barnet Highway,,Coquitlam,British Columbia,V3B 5R5,Canada,(604) 474-3084,,,Monday:10:00am - 7:00pm; Tuesday:10:00am - 7:00pm; Wednesday:10:00am - 9:00pm; Thursday:10:00am - 9:00pm; Friday:10:00am - 9:00pm; Saturday:9:30am - 7:00pm; Sunday:11:00am - 6:00pm,,
TSAWWASSEN MILLS,,5000 Canoe Pass Way,,Delta,British Columbia,V4M 0B3,Canada,(604) 383-0064,,,Monday:10:00am - 9:00pm; Tuesday:10:00am - 9:00pm; Wednesday:10:00am - 9:00pm; Thursday:10:00am - 9:00pm; Friday:10:00am - 9:00pm; Saturday:10:00am - 9:00pm; Sunday:10:00am - 7:00pm,,
OAKRIDGE CENTRE,,650 West 41 Avenue,,Vancouver,British Columbia,V5Z 2M9,Canada,(778) 379-5132,,,Monday:9:30am - 7:00pm; Tuesday:9:30am - 7:00pm; Wednesday:9:30am - 9:00pm; Thursday:9:30am - 9:00pm; Friday:9:30am - 9:00pm; Saturday:9:30am - 7:00pm; Sunday:11:00am - 6:00pm,,
