store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Bartlett Sam's Club,6260,8480 US HIGHWAY 64,,BARTLETT,TN,38133,United States,(901) 384-9997,35.206939,-89.780932,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Chattanooga Sam's Club,8112,6101 LEE HWY.,,CHATTANOOGA,TN,37421,United States,(423) 954-1746,35.029895,-85.190098,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Clarksville Sam's Club,6512,3315 GUTHERIE HWY.,,CLARKSVILLE,TN,37040,United States,(931) 552-0733,36.602615,-87.27687,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Cookeville Sam's Club,4930,1177 SAMS ST.,,COOKEVILLE,TN,38506,United States,(931) 528-2070,36.133738,-85.508403,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Franklin Sam's Club,6249,3070 MALLORY LANE,,FRANKLIN,TN,37067,United States,(615) 778-1401,35.942405,-86.818723,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Hendersonville Sam's Club,8257,301 INDIAN LAKE BLVD,,HENDERSONVILLE,TN,37075,United States,(615) 859-2023,36.328868,-86.597106,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Jackson Sam's Club,6507,2120 EMPORIUM DR.,,JACKSON,TN,38305,United States,(731) 668-6958,35.666863,-88.852237,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Johnson City Sam's Club,8222,3060 FRANKLIN TERRACE DRIVE,,JOHNSON CITY,TN,37604,United States,(423) 282-2303,36.354806,-82.40059,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Knoxville Sam's Club,6572,2920 KNOXVILLE CENTER DR.,,KNOXVILLE,TN,37924,United States,(865) 637-2582,36.032324,-83.872626,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Knoxville Sam's Club,8256,8435 WALBROOK DR.,,KNOXVILLE,TN,37923,United States,(865) 694-2168,35.926602,-84.059823,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Memphis Sam's Club,6256,7475 WINCHESTER RD,,MEMPHIS,TN,38125,United States,(901) 754-0324,35.049186,-89.813678,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Memphis Sam's Club,8258,1805 GETWELL RD.,,MEMPHIS,TN,38111,United States,(901) 743-6500,35.083259,-89.933548,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Memphis Sam's Club,8292,2150 COVINGTON PIKE,,MEMPHIS,TN,38128,United States,(901) 386-4004,35.183984,-89.893978,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Murfreesboro Sam's Club,6501,125 JOHN R. RICE BLVD.,,MURFREESBORO,TN,37129,United States,(615) 895-4246,35.847936,-86.441791,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Nashville Sam's Club,6447,615 OLD HICKORY BLVD.,,NASHVILLE,TN,37209,United States,(615) 356-5545,36.107082,-86.925912,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
Nashville Sam's Club,8294,1300 ANTIOCH PIKE,,NASHVILLE,TN,37211,United States,(615) 834-9092,36.086673,-86.690469,Standard: Monday - Friday: 10:00 a.m - 8:30 p.m.; Saturday: 9:00 a.m - 8:30 p.m.; Sunday: 10:00 a.m - 6:00 p.m.;  Gold Key: Monday - Friday: 7:00 a.m - 10:00 a.m; Saturday: 7:00 a.m - 9:00 a.m; Sunday: Closed;,,0
