store_name	store_number	address	address2	city	state	zip_code	country	phone_number	latitude	longitude	store_hours	store_type	other_fields
Los Angeles, Beverly Center		8500 Beverly Blvd.	Los Angeles, CA 90048	Los Angeles	California	90048	United States	(310) 657-9670			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-18:00	Store	
Birmingham, The Summit		225 Summit Boulevard	Birmingham, AL 35243	Birmingham	Alabama	35243	United States	(205) 969-4848			Mo-Sa 10:00-21:00; Su 12:00-18:00	Store	
Malibu, Malibu		3896 Cross Creek Rd.	Malibu, CA 90265	Malibu	California	90265	United States	(310) 317-6767			Mo-Su 10:00-19:00	Store	
Fresno, Fresno Fashion Fair		639 East Shaw Ave.	Fresno, CA 93710	Fresno	California	93710	United States	(559) 222-3434			Mo-Fr 10:00-21:00; Sa 10:00-19:00; Su 11:00-18:00	Store	
Hollywood, Hollywood & Highland		6801 Hollywood Blvd.	Hollywood, CA 90028	Hollywood	California	90028	United States	(323) 462-6898			Mo-Sa 10:00-22:00; Su 10:00-20:00	Store	
Glendale, Americana		230 Americana Way	Glendale, CA 91210	Glendale	California	91210	United States	(818) 502-9787			Mo-Th 10:00-21:00; Fr-Sa 10:00-22:00; Su 11:00-20:00	Store	
Los Angeles, The Grove		189 The Grove Drive	Los Angeles, CA 90036	Los Angeles	California	90036	United States	(323) 937-0347			Mo-Fr 10:00-21:00; Sa 10:00-22:00; Su 11:00-20:00	Store	
Los Angeles, Beverly Drive		270 N. Beverly Dr.	Los Angeles, CA 90210	Los Angeles	California	90210	United States	(310) 860-9581			Mo-Sa 10:00-20:00; Su 11:00-19:00	Store	
Chula Vista, Chula Vista		2015 Birch Road	Chula Vista, CA 91915	Chula Vista	California	91915	United States	(619) 482-4400			Mo-Sa 10:00-21:00; Su 11:00-18:00	Store	
Culver City, Culver City		6000 Sepulveda Blvd.	Culver City, CA 90230	Culver City	California	90230	United States	(310) 915-1542			Mo-Sa 10:00-21:00; Su 11:00-19:00	Store	
Costa Mesa, South Coast Plaza		3333 Bristol Street	Costa Mesa, CA 92626	Costa Mesa	California	92626	United States	(714) 429-9130			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-18:30	Store	
Emeryville, Emeryville		5626 Bay Street	Emeryville, CA 94608	Emeryville	California	94608	United States	(510) 547-6200			Mo-We 10:00-20:00; Th-Sa 10:00-21:00; Su 11:00-19:00	Store	
Costa Mesa, CRYSTAL COURT		3333 Bear St.	Costa Mesa, CA 92626	Costa Mesa	California	92626	United States	(714) 435-1001			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-18:30	Store	
Huntington Beach, Huntington Beach		21040 Pacific Coast Highway	Huntington Beach, CA 92648	Huntington Beach	California	92648	United States	(714) 536-1415			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-18:00	Store	
Cerritos, Los Cerritos Center		161 Los Cerritos Center	Cerritos, CA 90703	Cerritos	California	90703	United States	(562) 860-4499			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-19:00	Store	
Canoga Park, Canoga Park		6600 Topanga Canyon Blvd.	Canoga Park, CA 91303	Canoga Park	California	91303	United States	(818) 704-4600			Mo-Fr 10:00-21:00; Sa 10:00-20:00; Su 11:00-19:00	Store	
Quebec, Place Ste-Foy		2450 Boulevard	Quebec, QC G1V 2L1	Quebec	Quebec	G1V 2L1	Canada	(418) 650-2400			Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa 09:30-17:00; Su 10:00-17:00	Store	
Quebec, Les Promenades St Bruno		182, boul. des Promenades	Quebec, QC J3V 5K1	Quebec	Quebec	J3V 5K1 	Canada	(450) 441-3400			Mo-Fr 10:00-21:00; Sa 09:00-17:00; Su 10:00-17:00	Store	
Quebec, Quebec Capitale		5401, boulevard des Galeries	Quebec, QC G2K 1N4	Quebec	Quebec	G2K 1N4	Canada	(418) 626-4645			Mo-Fr 10:00-21:00; Sa 09:00-17:00; Su 10:00-17:00	Store	
Regina, Cornwall Centre		2102 11th Ave	Regina, SK S4P 3Y6	Regina	Saskatchewan	S4P 3Y6	Canada	(306) 585-6200			Mo-Tu 09:30-18:00; We-Fr 09:30-21:00; Sa 09:30-12:00; Su 12:00-17:00	Store	
Saskatoon, Saskatoon		201 1 Avenue South	Saskatoon, SK S7K 1J9	Saskatoon	Saskatchewan	S7K 1J9	Canada	(306) 978-3733			Mo-Tu 09:30-19:00; We-Fr 09:30-21:00; Sa 09:30-19:00; Su 11:00-18:00	Store	
Pointe Claire, Pointe Claire		6815 Trans-Canadienne	Pointe Claire, QC H9R 1C4	Pointe Claire	Quebec	H9R 1C4	Canada	(514) 630-6100			Mo-Fr 10:00-21:00; Sa 09:00-17:00; Su 10:00-17:00	Store	
Montreal, ANJOU		7999 Boulevard Les-Galeries-d'Anjou	Montreal, QC H1M 1W9	Montreal	Quebec	H1M 1W9	Canada	(514) 352-9924			Mo-Fr 10:00-21:00; Sa 09:00-17:00; Su 10:00-17:00	Store	
Montreal, Rockland		2305 Chemin Rockland	Montreal, QC H3P 3E9	Montreal	Quebec	H3P 3E9	Canada	(514) 737-0333			Mo-Tu 10:00-18:00; We-Fr 10:00-21:00; Sa 09:00-17:00; Su 10:00-17:00	Store	
Windsor, Devonshire		3100 Howard Ave	Windsor, ON N8X 3Y8	Windsor	Ontario	N8X 3Y8	Canada	(519) 972-0219			Mo-Fr 09:30-21:00; Sa 09:30-18:00; Su 11:00-17:00	Store	
Montreal, Montreal Ste Catherine		677 Sainte-Catherine St. W	Montreal, QC H3B 5K4	Montreal	Quebec	H3B 5K4	Canada	(514) 849-8484			Mo-Tu 10:00-18:00; We-Fr 10:00-21:00; Sa 10:00-18:00; Su 11:00-17:00	Store	
Brossard, DIX30		9200 Boulevard Leduc	Brossard, QC J4Y 0L1	Brossard	Quebec	J4Y 0L1	Canada	(450) 678-2166			Mo-Tu 10:00-18:00; We-Fr 10:00-21:00; Sa 09:00-17:00; Su 10:00-17:00	Store	
Laval, Carrefour Laval		3035 Le Carrefour Blvd.	Laval, QC H7T 1C8	Laval	Quebec	H7T 1C8	Canada	(450) 688-8886			Mo-Fr 10:00-21:00; Sa 09:00-21:00; Su 10:00-17:00	Store	
