store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Lafayette Pkwy & S Davis Rd,13612-107466,1470 Lafayette Pkwy,Suite 200,LaGrange,Georgia,30241,US,706-882-5205,33.041637,-84.982692,Today: 05:30 to 10:00; Tomorrow: 05:30 to 11:00; Saturday: 05:30 to 11:00; Sunday: 06:00 to 10:00; Monday: 05:30 to 10:00; Tuesday: 05:30 to 10:00; Wednesday: 05:30 to 10:00,Amenities,0
Kroger @ Opelika #631,25201-233569,2460 Enterprise Dr,,Opelika,Alabama,36801,US,334-737-2643,32.620594,-85.411445,Today: 06:00 to 08:00; Tomorrow: 06:00 to 08:00; Saturday: 06:00 to 08:00; Sunday: 06:00 to 08:00; Monday: 06:00 to 08:00; Tuesday: 06:00 to 08:00; Wednesday: 06:00 to 08:00,Amenities,0
"Kroger-Auburn, AL #260",47255-121766,300 Dean Rd,,Auburn,Alabama,36830,US,334-821-1325,32.6119,-85.4643,Today: 06:00 to 10:00; Tomorrow: 06:00 to 10:00; Saturday: 06:00 to 10:00; Sunday: 06:00 to 10:00; Monday: 06:00 to 10:00; Tuesday: 06:00 to 10:00; Wednesday: 06:00 to 10:00,Amenities,0
I-20 & Hwy 21,9738-97528,1011 Hwy 21 South,,Oxford,Alabama,36203,US,256-832-3820,33.607493,-85.828186,Today: 04:30 to 10:00; Tomorrow: 04:30 to 11:00; Saturday: 05:00 to 11:00; Sunday: 05:00 to 10:00; Monday: 04:30 to 10:00; Tuesday: 04:30 to 10:00; Wednesday: 04:30 to 10:00,Amenities,0
Target Opelika T-1499,76396-80263,2640 Enterprise Dr,,Opelika,Alabama,36801,US,334-705-0152,32.617486,-85.410808,Today: 08:00 to 09:00; Tomorrow: 08:00 to 09:00; Saturday: 08:00 to 09:00; Sunday: 08:00 to 08:00; Monday: 08:00 to 09:00; Tuesday: 08:00 to 09:00; Wednesday: 08:00 to 09:00,Amenities,0
Target Oxford T-2153,76606-101463,400 Oxford Exchange Blvd,,Oxford,Alabama,36207,US,256-231-2900,33.608802,-85.784932,Today: 08:00 to 09:00; Tomorrow: 08:00 to 09:00; Saturday: 08:00 to 09:00; Sunday: 08:00 to 08:00; Monday: 08:00 to 09:00; Tuesday: 08:00 to 09:00; Wednesday: 08:00 to 09:00,Amenities,0
I-85 @ Hwy 280,9544-97240,2056 Interstate Drive,,Opelika,Alabama,36801,US,334-745-0885,32.617886,-85.403916,Today: 04:00 to 11:00; Tomorrow: 04:00 to 12:00; Saturday: 05:00 to 12:00; Sunday: 05:00 to 11:00; Monday: 04:00 to 11:00; Tuesday: 04:00 to 11:00; Wednesday: 04:00 to 11:00,Amenities,0
"Columbus, MS",23043-220726,1908 Hwy 45 North,Suite 3,Columbus,Mississippi,39705,US,662-327-5374,33.518628,-88.434406,Today: 05:30 to 09:00; Tomorrow: 05:30 to 10:00; Saturday: 06:00 to 10:00; Sunday: 06:00 to 10:00; Monday: 05:30 to 09:00; Tuesday: 05:30 to 09:00; Wednesday: 05:30 to 09:00,Amenities,0
TCA @ Gadsden,23672-230991,1724 W Grand Ave,,Gadsden,Alabama,35906,US,256-413-7135,33.994679,-86.079602,Today: 06:00 to 09:00; Tomorrow: 06:00 to 09:00; Saturday: 06:00 to 09:00; Sunday: 06:00 to 09:00; Monday: 06:00 to 09:00; Tuesday: 06:00 to 09:00; Wednesday: 06:00 to 09:00,Amenities,0
Auburn University Lowder Lounge,22803-218127,Magnolia Street,,Auburn,Alabama,36849,US,,32.6058,-85.488746,Today: 07:00 to 12:00; Tomorrow: 07:00 to 05:00; Saturday: 09:00 to 05:00; Sunday: 09:00 to 09:00; Monday: 07:00 to 12:00; Tuesday: 07:00 to 12:00; Wednesday: 07:00 to 12:00,Amenities,0
