store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,547,Tanger Outlet Rehobeth Beach Ii,36706 Bayside Outlet Dr. Ste. 490,Rehoboth Beach                          ,DE,19971,United States,302-227-8205,38.71507263183594,-75.1089859008789,Sun:10:00 AM-7:00 PM;Mon:9:00 AM-9:00 PM;Tue:9:00 AM-9:00 PM;Wed:9:00 AM-9:00 PM;Thu:9:00 AM-9:00 PM;Fri:9:00 AM-9:00 PM;Sat:9:00 AM-9:00 PM;,,0
,194,Tanger Outlets Surfside,35016 Midway Outlet Dr Ste 306,Rehoboth Beach                          ,DE,19971,United States,302-644-0367,38.735233306884766,-75.14012145996094,Sun:10:00 AM-7:00 PM;Mon:9:00 AM-9:00 PM;Tue:9:00 AM-9:00 PM;Wed:9:00 AM-9:00 PM;Thu:9:00 AM-9:00 PM;Fri:9:00 AM-9:00 PM;Sat:9:00 AM-9:00 PM;,,0
,179,Ocean City Factory Outlets,"12741 Ocean Gateway, Ste 970",Ocean City                              ,MD,21842,United States,410-213-7883,38.338294982910156,-75.10784912109375,Sun:10:00 AM-7:00 PM;Mon:9:00 AM-9:00 PM;Tue:9:00 AM-9:00 PM;Wed:9:00 AM-9:00 PM;Thu:9:00 AM-9:00 PM;Fri:9:00 AM-9:00 PM;Sat:9:00 AM-9:00 PM;,,0
,589,Shoppes At Cross Keys,611 Cross Keys Rd Ste 448,Sicklerville                            ,NJ,08081,United States,856-740-0788,39.733909606933594,-75.00727844238281,Sun:12:00 PM-6:00 PM;Mon:10:00 AM-9:00 PM;Tue:10:00 AM-9:00 PM;Wed:10:00 AM-9:00 PM;Thu:10:00 AM-9:00 PM;Fri:10:00 AM-9:00 PM;Sat:10:00 AM-9:00 PM;,,0
,725,Gloucester Premium Outlets,100 Premium Outlets Drive Suite 933,Blackwood                               ,NJ,08012,United States,856-302-4038,39.78499221801758,-75.05294799804688,Sun:10:00 AM-7:00 PM;Mon:10:00 AM-9:00 PM;Tue:10:00 AM-9:00 PM;Wed:10:00 AM-9:00 PM;Thu:10:00 AM-9:00 PM;Fri:10:00 AM-9:00 PM;Sat:10:00 AM-9:00 PM;,,0
,638,Westfield Annapolis,"1610 Annapolis Mall, Suite 61",Annapolis                               ,MD,21401,United States,410-897-4800,38.9896125793457,-76.54593658447266,Sun:11:00 AM-7:00 PM;Mon:10:00 AM-9:00 PM;Tue:10:00 AM-9:00 PM;Wed:10:00 AM-9:00 PM;Thu:10:00 AM-9:00 PM;Fri:10:00 AM-9:00 PM;Sat:10:00 AM-9:00 PM;,,0
,382,Tollgate Marketplace,615 Bel Air Road,Bel Air                                 ,MD,21014,United States,410-838-8926,39.52449035644531,-76.35398864746094,Sun:12:00 PM-6:00 PM;Mon:10:00 AM-9:00 PM;Tue:10:00 AM-9:00 PM;Wed:10:00 AM-9:00 PM;Thu:10:00 AM-9:00 PM;Fri:10:00 AM-9:00 PM;Sat:10:00 AM-9:00 PM;,,0
,479,Arundel Mills,7000 Arundel Mills Circle,Hanover                                 ,MD,21076,United States,410-540-9325,39.156700134277344,-76.72537231445312,Sun:11:00 AM-7:00 PM;Mon:10:00 AM-9:00 PM;Tue:10:00 AM-9:00 PM;Wed:10:00 AM-9:00 PM;Thu:10:00 AM-9:00 PM;Fri:10:00 AM-9:00 PM;Sat:10:00 AM-9:00 PM;,,0
,626,Towson Town Center Suite 2265,825 Dulaney Valley Rd,Towson                                  ,MD,21204,United States,410-494-1473,39.40427017211914,-76.59812927246094,Sun:11:00 AM-6:00 PM;Mon:10:00 AM-9:00 PM;Tue:10:00 AM-9:00 PM;Wed:10:00 AM-9:00 PM;Thu:10:00 AM-9:00 PM;Fri:10:00 AM-9:00 PM;Sat:10:00 AM-9:00 PM;,,0
,639,Fairfield Place,133 E Swedesford Rd,Exton                                   ,PA,19341,United States,610-524-8284,40.03567886352539,-75.62891387939453,Sun:11:00 AM-6:00 PM;Mon:10:00 AM-9:00 PM;Tue:10:00 AM-9:00 PM;Wed:10:00 AM-9:00 PM;Thu:10:00 AM-9:00 PM;Fri:10:00 AM-9:00 PM;Sat:10:00 AM-9:00 PM;,,0
,684,Philadelphia Mills,1239 Franklin Mills Circle,Philadelphia                            ,PA,19154,United States,215-637-6556,40.08498764038086,-74.96257781982422,Sun:11:00 AM-7:00 PM;Mon:10:00 AM-9:00 PM;Tue:10:00 AM-9:00 PM;Wed:10:00 AM-9:00 PM;Thu:10:00 AM-9:00 PM;Fri:10:00 AM-9:00 PM;Sat:10:00 AM-9:00 PM;,,0
