store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Medicine Hat, AB",1550,1792 Trans Canada Way S.E. ,,Medicine Hat,AB,T1B 4C6,Canada,,50.003736,-110.65278,,,0
"Kelowna, BC",1564,2280 Baron Road ,,Kelowna,BC,V1X 7W3,Canada,,49.88007,-119.4325,,,0
"Gateway Road, Winnipeg, MB",1512,1035 Gateway Rd ,,Winnipeg,MB,R2K 4C1,Canada,,49.92814,-97.06981,,,0
"Dougall Ave, Windsor, ON",2827,2430 Dougall Ave. ,,Windsor,ON,N8X 1T2,Canada,,42.288589,-83.023404,,,0
"Midland, ON",0569,9292 County Road ,,Midland,ON,L4R 4K4,Canada,,44.738365,-79.915016,,,0
"Courtenay, BC",1528,757 Ryan Road ,,Courtenay,BC,V9N 3R6,Canada,,49.69777,-124.9857,,,0
"Westbank, BC",1552,3020 Louie Drive ,,Westbank,BC,V4T 3E1,Canada,,49.83476,-119.62076,,,0
"Red Deer, AB",1579,A-5016-51 Avenue ,,Red Deer,AB,T4N 4H5,Canada,,52.26971,-113.8178,,,0
"Brandon, MB",1515,920 Victoria Avenue ,,Brandon,MB,R7A 1A7,Canada,,49.84117,-99.95036,,,0
"Brockville, ON",1017,1972 Parkdale Ave ,,Brockville,ON,K6V 5T2,Canada,,44.61394,-75.688717,,,0
"Deerfoot, Calgary, AB",1539,"#100, 20 Heritage Meadows Way SE ",,Calgary,AB,T2H 0B5,Canada,,50.986,-114.0428,,,0
"Newmarket, ON",1018,18120 Yonge St ,,Newmarket,ON,L3Y 4V8,Canada,,44.07158,-79.48583,,,0
"Fort McMurray, AB",1548,9 Haineault Street ,,Fort McMurray,AB,T9H 1R8,Canada,,56.72421,-111.3764,,,0
"Westboro, Ottawa, ON",1009,190 Richmond Road ,,Ottawa,ON,K1Z 6W6,Canada,,45.39424,-75.74728,,,0
"215 St Anne's Rd., Winnipeg",1514,215 St Anne's Rd. ,,Winnipeg,MB,R2M 2Z9,Canada,,49.85707,-97.10311,,,0
"Windermere Way, Edmonton, AB",1538,1155 Windermere Way SW ,,Edmonton,AB,T6W 2B6,Canada,,53.43701,-113.618506,,,0
"Kenaston Boulevard, Winnipeg, MB",1516,550 Kenaston Blvd ,,Winnipeg,MB,R3N 2A1,Canada,,49.85535,-97.20413,,,0
"Winston Churchill, Mississauga, ON",1080,3050 Argentia Road ,,Mississauga,ON,L5N 8E1,Canada,,43.59659,-79.78428,,,0
"Scarborough, ON",2809,1755 Brimley Road ,,Scarborough,ON,M1P 0A3,Canada,,43.77806,-79.26295,,,0
"South Common, Edmonton, AB",1549,9711-23rd Ave.  N.W. ,,Edmonton,AB,T6N 1K7,Canada,,53.45206,-113.4801,,,0
